TABLE P(I,M)  Production time of order P on machine M (h)
1	2	3	4	5	6	7	8	9	10
1	36	29	41	36	14	17	20	21	33	38
2	21	28	21	22	14	22	18	16	42	33
3	22	39	27	25	18	15	23	23	34	41
4	33	39	26	38	23	14	17	15	43	38
5	29	31	40	38	20	16	24	19	43	37
6	22	42	23	44	13	11	23	11	33	41
7	27	22	24	43	25	13	14	15	40	32
8	25	39	20	20	15	23	21	13	34	30
9	40	28	43	44	14	15	22	13	38	33
10	31	35	32	34	15	23	15	14	43	33
11	22	24	29	39	12	12	21	24	41	33
12	45	24	30	40	24	16	19	18	38	43
13	38	37	42	22	19	17	13	16	32	36
14	24	27	33	41	16	20	20	14	35	35
15	36	25	24	22	23	16	24	24	36	41
16	31	28	38	42	11	13	20	15	37	31
17	24	36	45	36	19	17	21	21	31	43
18	41	25	38	36	16	10	19	19	33	35
19	21	20	44	35	21	21	21	13	38	32
20	36	43	28	26	11	15	18	17	39	33
21	21	24	26	36	11	13	13	16	34	42
22	26	22	24	29	12	24	19	22	37	34
23	23	44	35	33	15	16	20	19	43	42
24	28	37	36	26	18	22	22	20	31	33
25	34	32	22	22	12	18	25	22	43	38
26	35	22	24	39	21	11	20	24	35	35
27	39	43	39	22	17	24	22	11	36	35
28	30	36	20	26	11	18	21	20	38	37
29	41	29	25	39	18	19	14	24	36	31
30	26	37	32	30	11	21	18	17	34	38
31	31	24	45	29	16	16	24	19	41	30
32	32	30	43	35	25	21	12	16	40	38
33	36	44	23	41	10	16	15	19	33	38
34	27	29	23	24	16	18	22	12	35	43
35	29	42	23	44	23	17	15	13	36	44
36	35	42	28	44	11	24	11	21	36	37
37	41	38	33	41	15	19	12	20	36	32
38	22	27	28	36	21	18	19	18	31	39
39	36	31	30	42	23	25	17	18	33	35
40	22	40	45	39	18	21	14	21	39	38
41	23	35	20	36	23	15	11	10	40	32
42	23	20	34	29	24	17	19	17	38	36
43	41	22	38	40	12	11	22	22	32	33
44	20	36	36	42	22	13	19	21	33	32
45	35	35	27	29	19	18	11	11	34	45
46	22	41	24	37	23	10	16	17	39	39
47	34	21	41	22	20	24	11	13	40	45
48	36	35	25	35	22	14	20	19	41	33
49	40	29	33	35	23	24	15	11	34	45
50	30	41	29	23	12	12	12	12	41	30
+	11	12	13	14	15	16	17	18	19	20
1	43	33	25	30	34	34	12	12	10	13
2	35	43	32	30	25	33	13	14	13	13
3	37	36	34	29	28	32	13	13	13	12
4	35	34	30	28	26	27	11	11	12	15
5	32	35	31	34	29	30	15	15	13	14
6	33	38	32	33	32	27	14	12	13	11
7	43	32	33	28	28	28	13	14	13	12
8	34	44	34	29	28	29	10	12	15	14
9	43	43	29	27	34	30	11	11	14	14
10	39	33	26	26	35	33	14	10	15	11
11	32	42	25	29	28	25	12	15	14	12
12	45	37	27	29	29	34	12	12	12	13
13	38	32	30	28	30	34	13	10	11	15
14	36	42	33	31	32	34	12	11	11	13
15	35	35	27	25	33	29	10	13	13	11
16	42	32	34	25	33	31	13	13	12	14
17	31	32	28	34	30	30	11	11	11	12
18	44	35	26	32	26	34	15	11	12	13
19	44	43	26	28	26	28	10	14	15	10
20	32	34	35	32	33	28	12	14	13	12
21	38	42	35	25	33	32	13	11	12	12
22	41	45	35	32	28	30	10	13	11	14
23	38	34	26	27	30	30	15	12	11	13
24	43	41	30	26	32	31	13	12	15	12
25	41	32	35	27	34	27	11	12	12	13
26	45	39	32	28	31	31	11	13	10	13
27	42	35	26	32	27	32	15	13	13	11
28	35	37	25	30	26	33	11	13	11	11
29	36	37	27	30	28	33	11	14	10	13
30	40	32	35	27	28	34	11	14	14	11
31	35	40	30	30	26	33	11	11	12	14
32	43	33	31	32	25	27	14	12	12	12
33	32	44	26	31	25	32	13	14	15	10
34	45	36	29	32	29	32	15	14	10	13
35	43	31	28	27	25	30	15	15	12	14
36	40	31	27	27	32	26	15	13	13	14
37	33	44	28	34	30	33	15	12	13	12
38	31	42	29	32	34	26	12	15	14	14
39	30	36	27	33	25	26	12	14	10	14
40	35	39	32	35	34	35	14	11	14	12
41	40	36	26	34	27	31	13	11	12	13
42	43	42	34	33	27	32	12	14	10	13
43	30	43	28	35	33	25	11	10	14	14
44	40	44	34	34	26	29	10	15	13	10
45	31	36	34	26	26	32	12	12	14	13
46	40	42	27	31	26	26	12	14	13	11
47	34	42	27	31	33	31	14	13	13	14
48	40	41	30	31	30	33	14	12	10	13
49	32	44	29	33	29	33	14	11	15	12
50	34	38	32	28	29	27	10	14	12	13

TABLE RMK(M,K)
1	2	3	4	5
1*4	1				
5*8		1			
9*12			1		
13*16				1	
17*20					1

PARAMETERS
R(I)	1 170,2 161,3 23,4 53,5 44,6 116,7 132,8 71,9 176,10 21,11 128,12 182,13 32,14 128,15 49, 16 108,17 96,18 59,19 156,20 107,21 152,22 188,23 88,24 0,25 90,26 191,27 21,28 81,29 104, 30 3,31 173,32 59,33 21,34 105,35 132,36 90,37 199,38 126,39 181,40 121,41 55,42 111, 43 25,44 183,45 155,46 176,47 95,48 68,49 16,50 152
D(I)	1 534,2 475,3 590,4 550,5 435,6 436,7 400,8 486,9 582,10 595,11 413,12 479,13 590,14 457,15 495,16 586,17 584,18 583,19 480,20 541,21 540,22 400,23 409,24 442,25 546,26 549,27 536, 28 407,29 437,30 488,31 422,32 429,33 490,34 510,35 460,36 413,37 437,38 449,39 469,40 496, 41 484,42 473,43 546,44 448,45 521,46 478,47 556,48 461,49 526,50 525
