,recipe,release,due
0,1,0,1288
1,2,0,1272
2,3,0,1212
3,4,0,897
4,5,0,1405
5,6,0,1344
6,7,0,707
7,8,0,1014
8,9,0,1057
9,10,0,824
10,11,0,1240
11,12,0,1246
12,13,0,793
13,14,0,633
14,15,0,949
15,16,0,753
16,17,0,1335
17,18,0,1479
18,19,0,547
19,20,0,1373
20,21,0,1217
21,22,0,1096
22,23,0,888
23,24,0,515
24,25,0,887
25,26,0,1048
26,27,0,1238
27,28,0,1063
28,29,0,1308
29,30,0,1056
30,31,0,588
31,32,0,671
32,33,0,1253
33,34,0,1293
34,35,0,718
35,36,0,956
36,37,0,951
37,38,0,1393
38,39,0,845
39,40,0,995
40,41,0,635
41,42,0,914
42,43,0,1210
43,44,0,602
44,45,0,947
45,46,0,1436
46,47,0,1255
47,48,0,915
48,49,0,1422
49,50,0,1204
