,Order,Stage,Start,Finish,Duration
0,0,0,1.0,2.0,1.0
4,0,1,2.0,4.3310003,2.3310003
5,0,2,4.3310003,6.1460004,1.815
10,0,3,6.9070005,7.5490007,0.6420002
11,0,4,7.5490007,7.7990007,0.25
14,0,5,7.7990007,10.001,2.2019997
0,1,0,23.0,24.0,1.0
3,1,1,35.500004,36.950005,1.4500008
7,1,2,36.950005,37.950005,1.0
10,1,3,38.11601,38.882008,0.76599884
12,1,4,38.882008,39.302006,0.41999817
0,2,0,10.0,11.0,1.0
2,2,1,26.200005,27.650005,1.4500008
6,2,2,27.650005,28.650005,1.0
9,2,3,28.650005,29.021006,0.3710003
11,2,4,29.021006,29.771006,0.75
16,2,5,29.771006,29.875006,0.10400009
0,3,0,15.0,16.0,1.0
3,3,1,39.850006,41.300007,1.4500008
7,3,2,41.300007,42.300007,1.0
10,3,3,42.46601,43.11401,0.6479988
11,3,4,43.11401,43.61401,0.5
16,3,5,43.61401,44.24901,0.6349983
0,4,0,6.0,7.0,1.0
2,4,1,13.149999,14.599998,1.4499998
7,4,2,14.599998,15.599998,1.0
8,4,3,15.599998,15.846998,0.24699974
13,4,4,15.846998,16.266998,0.42000008
15,4,5,16.266998,16.508999,0.24200058
0,5,0,14.0,15.0,1.0
4,5,1,15.331,17.662,2.3310003
5,5,2,17.662,19.477001,1.8150005
10,5,3,19.477001,20.119001,0.6420002
11,5,4,20.119001,20.369001,0.25
15,5,5,20.369001,22.571001,2.2019997
0,6,0,17.0,18.0,1.0
2,6,1,24.750004,26.200005,1.4500008
7,6,2,26.200005,27.200005,1.0
10,6,3,27.838999,28.605,0.76600075
13,6,4,28.605,29.025,0.42000008
1,7,0,7.0,8.0,1.0
2,7,1,27.650005,29.100006,1.4500008
6,7,2,29.100006,30.100006,1.0
9,7,3,30.100006,30.471006,0.3710003
11,7,4,30.471006,31.221006,0.75
14,7,5,31.221006,31.585007,0.36400032
0,8,0,2.0,3.0,1.0
2,8,1,3.0,4.45,1.4499998
6,8,2,4.6949997,5.6949997,1.0
10,8,3,7.5490007,8.1970005,0.64799976
11,8,4,8.1970005,8.6970005,0.5
16,8,5,8.6970005,9.332001,0.6350002
0,9,0,8.0,9.0,1.0
2,9,1,21.850002,23.300003,1.4500008
6,9,2,23.300003,24.300003,1.0
9,9,3,24.300003,24.547003,0.24699974
11,9,4,24.547003,24.797003,0.25
16,9,5,24.797003,24.866003,0.069000244
1,10,0,0.0,1.0,1.0
3,10,1,1.0,2.45,1.45
5,10,2,2.45,4.2650003,1.8150003
10,10,3,4.2650003,6.9070005,2.6420002
13,10,4,6.9070005,7.3270006,0.42000008
16,10,5,7.3270006,7.956001,0.6290002
1,11,0,5.0,6.0,1.0
2,11,1,7.3499994,8.799999,1.4499998
5,11,2,8.799999,9.799999,1.0
10,11,3,10.253,11.019,0.7659998
13,11,4,11.019,11.439,0.42000008
1,12,0,14.0,15.0,1.0
2,12,1,30.550007,32.000008,1.4500008
6,12,2,32.000008,33.000008,1.0
9,12,3,33.000008,33.371006,0.37099838
11,12,4,33.371006,34.121006,0.75
16,12,5,34.121006,34.225006,0.10400009
1,13,0,2.0,3.0,1.0
3,13,1,3.9,25.35,21.45
5,13,2,25.35,26.35,1.0
10,13,3,26.548998,27.196999,0.6480007
13,13,4,27.196999,28.036999,0.84000015
14,13,5,28.036999,30.258999,2.2220001
0,14,0,11.0,12.0,1.0
2,14,1,14.599998,16.05,1.4500008
6,14,2,16.05,17.05,1.0
8,14,3,17.05,17.296999,0.24699974
11,14,4,17.296999,17.546999,0.25
16,14,5,17.546999,17.616,0.069000244
0,15,0,19.0,20.0,1.0
4,15,1,21.331,23.661999,2.3309994
7,15,2,23.661999,25.906998,2.244999
10,15,3,25.906998,26.548998,0.6420002
13,15,4,26.548998,26.968998,0.42000008
15,15,5,26.968998,29.170998,2.2019997
1,16,0,19.0,20.0,1.0
2,16,1,34.90001,36.35001,1.4500008
6,16,2,36.35001,37.35001,1.0
10,16,3,37.35001,38.11601,0.76599884
11,16,4,38.11601,38.36601,0.25
1,17,0,24.0,25.0,1.0
3,17,1,32.600002,34.050003,1.4500008
7,17,2,34.050003,35.050003,1.0
9,17,3,35.050003,35.421,0.37099838
11,17,4,35.421,36.171,0.75
16,17,5,36.171,36.275,0.10400009
1,18,0,3.0,4.0,1.0
2,18,1,8.799999,10.249999,1.4499998
6,18,2,10.249999,11.249999,1.0
10,18,3,11.249999,11.897999,0.64799976
13,18,4,11.897999,12.737999,0.84000015
15,18,5,12.737999,14.959999,2.2220001
0,19,0,3.0,4.0,1.0
2,19,1,4.45,5.8999996,1.4499998
7,19,2,5.8999996,6.8999996,1.0
8,19,3,6.8999996,7.147,0.24700022
11,19,4,7.147,7.397,0.25
15,19,5,7.397,7.639,0.2420001
