,Order,Stage,Start,Finish,Duration
0,0,0,16.0,17.0,1.0
4,0,1,17.331,19.661999,2.3309994
7,0,2,19.661999,21.906998,2.244999
10,0,3,21.906998,22.548998,0.6420002
12,0,4,22.548998,22.968998,0.42000008
16,0,5,22.968998,23.597998,0.6289997
0,1,0,20.0,21.0,1.0
3,1,1,22.750002,24.200003,1.4500008
5,1,2,24.200003,25.200003,1.0
10,1,3,25.528,26.294,0.76600075
11,1,4,26.294,26.544,0.25
1,2,0,8.0,9.0,1.0
3,2,1,9.7,11.15,1.4499998
7,2,2,11.15,12.15,1.0
8,2,3,12.15,12.521,0.3710003
12,2,4,12.521,13.781,1.2600002
14,2,5,13.781,14.145,0.36400032
1,3,0,5.0,6.0,1.0
3,3,1,6.8,8.25,1.4499998
5,3,2,8.25,9.25,1.0
10,3,3,9.549001,10.1970005,0.64799976
11,3,4,10.1970005,10.6970005,0.5
15,3,5,10.6970005,12.919001,2.2220001
1,4,0,0.0,1.0,1.0
2,4,1,1.0,2.45,1.45
5,4,2,2.45,3.45,1.0
9,4,3,3.45,3.697,0.24699998
13,4,4,3.697,4.117,0.42000008
14,4,5,4.117,4.359,0.2420001
1,5,0,14.0,15.0,1.0
4,5,1,15.0,17.331,2.3309994
5,5,2,17.331,19.146,1.8150005
10,5,3,19.148,19.79,0.6420002
13,5,4,19.79,20.210001,0.42000008
16,5,5,20.210001,20.839,0.6289997
0,6,0,6.0,7.0,1.0
3,6,1,14.049999,15.499999,1.4499998
7,6,2,15.499999,16.5,1.000001
10,6,3,16.85,17.616001,0.76600075
11,6,4,17.616001,17.866001,0.25
1,7,0,13.0,14.0,1.0
2,7,1,18.95,20.400002,1.4500008
6,7,2,20.400002,21.400002,1.0
9,7,3,21.400002,21.771002,0.3710003
13,7,4,21.771002,23.031002,1.2600002
14,7,5,23.031002,23.395002,0.36400032
1,8,0,21.0,22.0,1.0
2,8,1,26.200005,27.650005,1.4500008
5,8,2,27.650005,28.650005,1.0
10,8,3,28.650005,29.298006,0.6480007
11,8,4,29.298006,29.798006,0.5
14,8,5,29.798006,32.020004,2.2219982
0,9,0,13.0,14.0,1.0
3,9,1,16.949999,18.4,1.4500008
7,9,2,18.4,19.4,1.0
9,9,3,19.4,19.647,0.24699974
12,9,4,19.647,20.067,0.42000008
16,9,5,20.067,20.136,0.069000244
1,10,0,11.0,12.0,1.0
4,10,1,12.331,14.662001,2.3310003
6,10,2,14.662001,16.907001,2.2450008
10,10,3,17.616001,18.258001,0.6420002
11,10,4,18.258001,18.508001,0.25
15,10,5,18.508001,20.710001,2.2019997
1,11,0,7.0,8.0,1.0
2,11,1,8.799999,10.249999,1.4499998
5,11,2,10.249999,11.249999,1.0
10,11,3,11.611,12.377,0.7659998
13,11,4,12.377,12.797,0.42000008
1,12,0,24.0,25.0,1.0
3,12,1,25.650003,27.100004,1.4500008
7,12,2,27.100004,28.100004,1.0
8,12,3,28.100004,28.471004,0.3710003
12,12,4,28.471004,29.731005,1.2600002
16,12,5,29.731005,29.835005,0.10400009
1,13,0,4.0,5.0,1.0
3,13,1,5.3500004,6.8,1.4499998
5,13,2,6.8,7.8,1.0
10,13,3,7.8,8.448,0.64799976
11,13,4,8.448,8.948,0.5
16,13,5,8.948,9.583,0.6350002
0,14,0,8.0,9.0,1.0
3,14,1,11.15,12.599999,1.4499998
7,14,2,12.599999,13.599999,1.0
8,14,3,13.599999,13.846999,0.24699974
12,14,4,13.846999,14.266999,0.42000008
15,14,5,14.266999,14.508999,0.24199963
0,15,0,1.0,2.0,1.0
4,15,1,2.0,4.3310003,2.3310003
5,15,2,4.3310003,6.1460004,1.815
10,15,3,6.1460004,6.7880006,0.6420002
13,15,4,6.7880006,7.2080007,0.42000008
14,15,5,7.2080007,9.410001,2.2020001
0,16,0,7.0,8.0,1.0
3,16,1,8.25,9.7,1.4499998
6,16,2,9.7,10.7,1.0
10,16,3,10.845,11.611,0.7659998
11,16,4,11.611,11.861,0.25
0,17,0,4.0,5.0,1.0
2,17,1,5.8999996,7.3499994,1.4499998
7,17,2,7.3499994,8.349999,1.0
8,17,3,8.349999,8.721,0.3710003
13,17,4,8.721,9.981,1.2600002
14,17,5,9.981,10.345,0.36400032
1,18,0,23.0,24.0,1.0
3,18,1,27.100004,28.550005,1.4500008
7,18,2,28.550005,29.550005,1.0
10,18,3,29.550005,30.198006,0.6480007
13,18,4,30.198006,31.038006,0.84000015
16,18,5,31.038006,31.673006,0.6350002
0,19,0,19.0,20.0,1.0
3,19,1,28.550005,30.000006,1.4500008
7,19,2,30.000006,31.000006,1.0
8,19,3,31.000006,31.247005,0.24699974
12,19,4,31.247005,31.667006,0.42000008
15,19,5,31.667006,31.909006,0.24200058
0,20,0,17.0,18.0,1.0
4,20,1,19.661999,21.992998,2.3309994
7,20,2,21.992998,24.237999,2.2450008
10,20,3,24.237999,24.88,0.6420002
13,20,4,24.88,25.3,0.42000008
14,20,5,25.3,27.501999,2.2019997
0,21,0,3.0,4.0,1.0
2,21,1,4.45,5.8999996,1.4499998
7,21,2,5.8999996,6.8999996,1.0
10,21,3,6.8999996,7.6659994,0.7659998
12,21,4,7.6659994,8.0859995,0.42000008
0,22,0,10.0,11.0,1.0
2,22,1,14.599998,16.05,1.4500008
5,22,2,16.05,17.05,1.0
9,22,3,17.05,17.421,0.3710003
13,22,4,17.421,18.681,1.2600002
16,22,5,18.681,18.785,0.10400009
0,23,0,9.0,10.0,1.0
2,23,1,10.249999,11.699999,1.4499998
6,23,2,11.699999,12.699999,1.0
10,23,3,12.699999,13.347999,0.64799976
13,23,4,13.347999,14.187999,0.84000015
16,23,5,14.187999,14.822999,0.6350002
1,24,0,17.0,18.0,1.0
2,24,1,23.300003,24.750004,1.4500008
6,24,2,24.750004,25.750004,1.0
8,24,3,25.750004,25.997004,0.24699974
11,24,4,25.997004,26.247004,0.25
16,24,5,26.247004,26.316004,0.069000244
1,25,0,3.0,4.0,1.0
4,25,1,4.3310003,6.6620007,2.3310003
6,25,2,6.6620007,8.907001,2.245
10,25,3,8.907001,9.549001,0.6420002
11,25,4,9.549001,9.799001,0.25
16,25,5,9.799001,10.428,0.6289997
0,26,0,15.0,16.0,1.0
2,26,1,27.650005,29.100006,1.4500008
5,26,2,29.100006,30.100006,1.0
10,26,3,30.198006,30.964006,0.76600075
11,26,4,30.964006,31.214006,0.25
0,27,0,23.0,24.0,1.0
2,27,1,29.100006,30.550007,1.4500008
5,27,2,30.550007,31.550007,1.0
9,27,3,31.550007,31.921007,0.3710003
11,27,4,31.921007,32.671005,0.7499981
16,27,5,32.671005,32.775005,0.10400009
0,28,0,12.0,13.0,1.0
2,28,1,13.149999,14.599998,1.4499998
5,28,2,14.599998,15.599998,1.0
10,28,3,16.202,16.85,0.6480007
12,28,4,16.85,17.69,0.84000015
16,28,5,17.69,18.325,0.6350002
0,29,0,5.0,6.0,1.0
2,29,1,17.5,18.95,1.4500008
6,29,2,18.95,19.95,1.0
8,29,3,19.95,20.197,0.24699974
12,29,4,20.197,20.617,0.42000008
15,29,5,20.710001,20.952002,0.24200058
0,30,0,21.0,22.0,1.0
4,30,1,22.0,24.331,2.3309994
7,30,2,24.331,26.576,2.2450008
10,30,3,26.576,27.218,0.6420002
12,30,4,27.218,27.638,0.42000008
15,30,5,27.638,29.84,2.2019997
0,31,0,22.0,23.0,1.0
2,31,1,24.750004,26.200005,1.4500008
6,31,2,26.200005,27.200005,1.0
10,31,3,27.218,27.984001,0.76600075
11,31,4,27.984001,28.234001,0.25
1,32,0,2.0,3.0,1.0
3,32,1,3.9,5.3500004,1.4500003
6,32,2,5.3500004,6.3500004,1.0
9,32,3,6.3500004,6.721,0.3709998
11,32,4,6.721,7.471,0.75
16,32,5,7.471,7.5750003,0.10400009
1,33,0,6.0,7.0,1.0
2,33,1,7.3499994,8.799999,1.4499998
7,33,2,8.799999,9.799999,1.0
10,33,3,10.1970005,10.845,0.64799976
