,Order,Stage,Start,Finish,Duration
1,0,0,19.0,20.0,1.0
4,0,1,20.661999,22.992998,2.3309994
5,0,2,34.000008,35.815006,1.8149986
10,0,3,35.815006,36.457005,0.6419983
11,0,4,36.457005,36.707005,0.25
16,0,5,36.707005,37.336006,0.6290016
1,1,0,13.0,14.0,1.0
2,1,1,25.750004,27.200005,1.4500008
7,1,2,27.200005,28.200005,1.0
10,1,3,28.448002,29.214003,0.76600075
11,1,4,29.214003,29.464003,0.25
0,2,0,13.0,14.0,1.0
3,2,1,26.800001,28.250002,1.4500008
6,2,2,28.250002,29.250002,1.0
9,2,3,29.250002,29.621002,0.3710003
12,2,4,29.621002,30.881002,1.2600002
14,2,5,30.881002,31.245003,0.36400032
1,3,0,14.0,15.0,1.0
2,3,1,27.200005,28.650005,1.4500008
5,3,2,28.650005,29.650005,1.0
10,3,3,29.650005,30.298006,0.6480007
11,3,4,30.298006,30.798006,0.5
16,3,5,30.798006,31.433006,0.6350002
0,4,0,14.0,15.0,1.0
3,4,1,28.250002,29.700003,1.4500008
7,4,2,29.700003,30.700003,1.0
9,4,3,30.700003,30.947002,0.24699974
11,4,4,30.947002,31.197002,0.25
14,4,5,31.245003,31.487003,0.24200058
1,5,0,15.0,16.0,1.0
4,5,1,16.0,18.331,2.3309994
6,5,2,29.250002,31.495003,2.2450008
10,5,3,31.495003,32.137,0.6419983
12,5,4,32.137,32.557,0.41999817
16,5,5,32.557,33.186,0.6290016
0,6,0,15.0,16.0,1.0
2,6,1,28.650005,30.100006,1.4500008
5,6,2,30.100006,31.100006,1.0
10,6,3,32.137,32.903,0.76599884
11,6,4,32.903,33.153,0.25
1,7,0,16.0,17.0,1.0
3,7,1,29.700003,31.150003,1.4500008
7,7,2,31.150003,32.15,0.9999981
9,7,3,32.15,32.521,0.37099838
12,7,4,32.557,33.816998,1.2599983
14,7,5,33.816998,34.180996,0.3639984
0,8,0,16.0,17.0,1.0
2,8,1,30.100006,31.550007,1.4500008
5,8,2,31.550007,32.550007,1.0
10,8,3,32.903,33.551,0.6479988
11,8,4,33.551,34.051,0.5
16,8,5,34.051,34.685997,0.6349983
1,9,0,17.0,18.0,1.0
3,9,1,31.150003,32.600002,1.4499989
6,9,2,32.600002,33.600002,1.0
9,9,3,33.600002,33.847004,0.24700165
12,9,4,33.847004,34.267002,0.41999817
14,9,5,34.267002,34.509003,0.24200058
0,10,0,17.0,18.0,1.0
4,10,1,18.331,20.661999,2.3309994
7,10,2,32.15,34.395,2.244999
10,10,3,34.395,35.037,0.6419983
11,10,4,35.037,35.287,0.25
14,10,5,35.287,37.489,2.2019997
1,11,0,18.0,19.0,1.0
2,11,1,31.550007,33.000008,1.4500008
5,11,2,33.000008,34.000008,1.0
10,11,3,35.037,35.802998,0.76599884
12,11,4,35.802998,36.222996,0.41999817
0,12,0,18.0,19.0,1.0
3,12,1,32.600002,34.050003,1.4500008
6,12,2,34.050003,35.050003,1.0
9,12,3,35.050003,35.421,0.37099838
11,12,4,35.421,36.171,0.75
16,12,5,36.171,36.275,0.10400009
0,13,0,12.0,13.0,1.0
3,13,1,25.35,26.800001,1.4500008
5,13,2,26.800001,27.800001,1.0
10,13,3,27.800001,28.448002,0.6480007
12,13,4,28.448002,29.288002,0.84000015
16,13,5,29.288002,29.923002,0.6350002
0,14,0,19.0,20.0,1.0
2,14,1,33.000008,34.45001,1.4500008
7,14,2,34.45001,35.45001,1.0
9,14,3,35.45001,35.69701,0.24700165
12,14,4,36.222996,36.642994,0.41999817
16,14,5,37.336006,37.405006,0.069000244
1,15,0,20.0,21.0,1.0
4,15,1,22.992998,25.323997,2.3309994
6,15,2,35.050003,37.295002,2.244999
10,15,3,37.295002,37.937,0.6419983
12,15,4,37.937,38.357,0.41999817
16,15,5,38.357,38.986,0.6290016
0,16,0,20.0,21.0,1.0
3,16,1,34.050003,35.500004,1.4500008
7,16,2,35.500004,36.500004,1.0
10,16,3,37.937,38.703,0.76599884
11,16,4,38.703,38.953,0.25
1,17,0,21.0,22.0,1.0
2,17,1,34.45001,35.90001,1.4500008
5,17,2,35.90001,36.90001,1.0
9,17,3,36.90001,37.271008,0.37099838
12,17,4,38.357,39.616997,1.2599983
14,17,5,39.616997,39.980995,0.3639984
0,18,0,21.0,22.0,1.0
3,18,1,35.500004,36.950005,1.4500008
7,18,2,36.950005,37.950005,1.0
10,18,3,38.703,39.350998,0.6479988
11,18,4,39.350998,39.850998,0.5
16,18,5,39.850998,40.485996,0.6349983
1,19,0,22.0,23.0,1.0
2,19,1,35.90001,37.35001,1.4500008
5,19,2,37.35001,38.35001,1.0
9,19,3,38.35001,38.59701,0.24700165
12,19,4,39.616997,40.036995,0.41999817
14,19,5,40.036995,40.278996,0.24200058
0,20,0,22.0,23.0,1.0
4,20,1,25.323997,27.654997,2.3309994
6,20,2,37.295002,39.54,2.244999
10,20,3,39.54,40.182,0.6419983
11,20,4,40.182,40.432,0.25
14,20,5,40.432,42.634,2.2019997
1,21,0,23.0,24.0,1.0
3,21,1,36.950005,38.400005,1.4500008
7,21,2,38.400005,39.400005,1.0
10,21,3,40.182,40.947998,0.76599884
12,21,4,40.947998,41.367996,0.41999817
0,22,0,23.0,24.0,1.0
2,22,1,37.35001,38.80001,1.4500008
5,22,2,38.80001,39.80001,1.0
9,22,3,39.80001,40.17101,0.37099838
11,22,4,40.432,41.182,0.75
16,22,5,41.182,41.286,0.10400009
1,23,0,24.0,25.0,1.0
3,23,1,38.400005,39.850006,1.4500008
7,23,2,39.850006,40.850006,1.0
10,23,3,40.947998,41.595997,0.6479988
11,23,4,41.595997,42.095997,0.5
16,23,5,42.095997,42.730995,0.6349983
0,24,0,24.0,25.0,1.0
2,24,1,38.80001,40.25001,1.4500008
6,24,2,40.25001,41.25001,1.0
