,Order,Stage,Start,Finish,Duration
1,0,0,19.0,20.0,1.0
4,0,1,20.661999,22.992998,2.3309994
6,0,2,24.645,26.89,2.244999
10,0,3,26.89,27.532,0.6420002
13,0,4,27.532,27.952,0.42000008
16,0,5,27.952,28.581,0.6289997
1,1,0,13.0,14.0,1.0
3,1,1,16.949999,18.4,1.4500008
6,1,2,18.4,19.4,1.0
10,1,3,19.4,20.166,0.76600075
11,1,4,20.166,20.416,0.25
0,2,0,13.0,14.0,1.0
2,2,1,17.05,18.5,1.4500008
7,2,2,18.5,19.5,1.0
9,2,3,19.5,19.871,0.3710003
12,2,4,19.871,21.131,1.2600002
15,2,5,21.131,21.495,0.36400032
1,3,0,14.0,15.0,1.0
3,3,1,18.4,19.85,1.4500008
5,3,2,19.85,20.85,1.0
10,3,3,20.85,21.498001,0.6480007
13,3,4,21.498001,22.338001,0.84000015
16,3,5,22.338001,22.973001,0.6350002
0,4,0,14.0,15.0,1.0
2,4,1,18.5,19.95,1.4500008
6,4,2,19.95,20.95,1.0
8,4,3,20.95,21.197,0.24699974
11,4,4,21.197,21.447,0.25
15,4,5,21.495,21.737001,0.24200058
1,5,0,15.0,16.0,1.0
4,5,1,16.0,18.331,2.3309994
7,5,2,19.5,21.744999,2.244999
10,5,3,21.744999,22.387,0.6420002
12,5,4,22.387,22.807,0.42000008
15,5,5,22.807,25.008999,2.2019997
0,6,0,15.0,16.0,1.0
3,6,1,19.85,21.300001,1.4500008
5,6,2,21.300001,22.300001,1.0
10,6,3,22.387,23.153,0.76600075
11,6,4,23.153,23.403,0.25
1,7,0,16.0,17.0,1.0
2,7,1,19.95,21.400002,1.4500008
6,7,2,21.400002,22.400002,1.0
9,7,3,22.400002,22.771002,0.3710003
13,7,4,22.771002,24.031002,1.2600002
14,7,5,24.031002,24.395002,0.36400032
0,8,0,16.0,17.0,1.0
3,8,1,21.300001,22.750002,1.4500008
7,8,2,22.750002,23.750002,1.0
10,8,3,23.750002,24.398003,0.6480007
12,8,4,24.398003,25.238003,0.84000015
16,8,5,25.238003,25.873003,0.6350002
1,9,0,17.0,18.0,1.0
2,9,1,21.400002,22.850002,1.4500008
5,9,2,22.850002,23.850002,1.0
8,9,3,23.850002,24.097002,0.24699974
11,9,4,24.097002,24.347002,0.25
14,9,5,24.395002,24.637003,0.24200058
0,10,0,17.0,18.0,1.0
4,10,1,18.331,20.661999,2.3309994
6,10,2,22.400002,24.645,2.244999
10,10,3,24.645,25.287,0.6420002
13,10,4,25.287,25.707,0.42000008
14,10,5,25.707,27.909,2.2019997
1,11,0,18.0,19.0,1.0
3,11,1,22.750002,24.200003,1.4500008
7,11,2,24.200003,25.200003,1.0
10,11,3,25.287,26.053001,0.76600075
11,11,4,26.053001,26.303001,0.25
0,12,0,18.0,19.0,1.0
2,12,1,22.850002,24.300003,1.4500008
5,12,2,24.300003,25.300003,1.0
9,12,3,25.300003,25.671003,0.3710003
12,12,4,25.671003,26.931004,1.2600002
15,12,5,26.931004,27.295004,0.36400032
0,13,0,12.0,13.0,1.0
2,13,1,15.599998,17.05,1.4500008
5,13,2,17.05,18.05,1.0
10,13,3,18.05,18.698,0.6480007
13,13,4,18.698,19.538,0.84000015
14,13,5,19.538,21.76,2.2220001
0,14,0,19.0,20.0,1.0
3,14,1,24.200003,25.650003,1.4500008
7,14,2,25.650003,26.650003,1.0
8,14,3,26.650003,26.897003,0.24699974
11,14,4,26.897003,27.147003,0.25
15,14,5,27.295004,27.537004,0.24200058
1,15,0,20.0,21.0,1.0
4,15,1,22.992998,25.323997,2.3309994
5,15,2,25.323997,27.138998,1.8150005
10,15,3,27.532,28.174,0.6420002
12,15,4,28.174,28.594,0.42000008
15,15,5,28.594,30.796,2.2019997
0,16,0,20.0,21.0,1.0
2,16,1,24.300003,25.750004,1.4500008
7,16,2,26.650003,27.650003,1.0
10,16,3,28.174,28.94,0.76600075
11,16,4,28.94,29.19,0.25
1,17,0,21.0,22.0,1.0
3,17,1,25.650003,27.100004,1.4500008
6,17,2,27.100004,28.100004,1.0
9,17,3,28.100004,28.471004,0.3710003
13,17,4,28.471004,29.731005,1.2600002
14,17,5,29.731005,30.095005,0.36400032
0,18,0,21.0,22.0,1.0
2,18,1,25.750004,27.200005,1.4500008
5,18,2,27.200005,28.200005,1.0
10,18,3,28.94,29.588001,0.6480007
12,18,4,29.588001,30.428001,0.84000015
16,18,5,30.428001,31.063002,0.6350002
1,19,0,22.0,23.0,1.0
3,19,1,27.100004,28.550005,1.4500008
7,19,2,28.550005,29.550005,1.0
8,19,3,29.550005,29.797005,0.24699974
11,19,4,29.797005,30.047005,0.25
14,19,5,30.095005,30.337006,0.24200058
0,20,0,22.0,23.0,1.0
4,20,1,25.323997,27.654997,2.3309994
6,20,2,28.100004,30.345005,2.2450008
10,20,3,30.345005,30.987005,0.6420002
13,20,4,30.987005,31.407005,0.42000008
14,20,5,31.407005,33.609005,2.2019997
1,21,0,23.0,24.0,1.0
2,21,1,27.200005,28.650005,1.4500008
5,21,2,28.650005,29.650005,1.0
10,21,3,30.987005,31.753006,0.76600075
11,21,4,31.753006,32.003006,0.25
0,22,0,23.0,24.0,1.0
3,22,1,28.550005,30.000006,1.4500008
7,22,2,30.000006,31.000006,1.0
9,22,3,31.000006,31.371006,0.3710003
12,22,4,31.371006,32.631004,1.2599983
15,22,5,32.631004,32.995003,0.3639984
1,23,0,24.0,25.0,1.0
2,23,1,28.650005,30.100006,1.4500008
5,23,2,30.100006,31.100006,1.0
10,23,3,31.753006,32.401005,0.6479988
13,23,4,32.401005,33.241005,0.84000015
16,23,5,33.241005,33.876003,0.6349983
0,24,0,24.0,25.0,1.0
3,24,1,30.000006,31.450006,1.4500008
6,24,2,31.450006,32.450005,0.9999981
8,24,3,32.450005,32.697006,0.24700165
