,Order,Stage,Start,Finish,Duration
0,0,0,19.0,20.0,1.0
3,0,1,35.35001,36.80001,1.4500008
5,0,2,39.16501,40.980007,1.8149986
10,0,3,40.980007,41.622005,0.6419983
11,0,4,41.622005,41.872005,0.25
16,0,5,41.872005,42.501007,0.6290016
0,1,0,11.0,12.0,1.0
3,1,1,23.750004,25.200005,1.4500008
6,1,2,25.200005,26.200005,1.0
10,1,3,26.200005,26.966005,0.76600075
11,1,4,26.966005,27.216005,0.25
0,2,0,12.0,13.0,1.0
3,2,1,25.200005,26.650005,1.4500008
6,2,2,26.650005,27.650005,1.0
9,2,3,27.650005,28.021006,0.3710003
11,2,4,28.021006,28.771006,0.75
16,2,5,28.771006,28.875006,0.10400009
0,3,0,13.0,14.0,1.0
3,3,1,26.650005,28.100006,1.4500008
6,3,2,28.100006,29.100006,1.0
10,3,3,29.100006,29.748007,0.6480007
11,3,4,29.748007,30.248007,0.5
16,3,5,30.248007,30.883007,0.6350002
0,4,0,14.0,15.0,1.0
3,4,1,28.100006,29.550007,1.4500008
7,4,2,29.550007,30.550007,1.0
9,4,3,30.550007,30.797007,0.24699974
11,4,4,30.797007,31.047007,0.25
16,4,5,31.047007,31.116007,0.069000244
1,5,0,15.0,16.0,1.0
3,5,1,29.550007,31.000008,1.4500008
5,5,2,31.000008,32.815006,1.8149986
10,5,3,32.815006,33.457005,0.6419983
11,5,4,33.457005,33.707005,0.25
16,5,5,33.707005,34.336006,0.6290016
1,6,0,16.0,17.0,1.0
2,6,1,17.0,18.45,1.4500008
6,6,2,29.100006,30.100006,1.0
10,6,3,33.457005,34.223003,0.76599884
11,6,4,34.223003,34.473003,0.25
1,7,0,17.0,18.0,1.0
3,7,1,31.000008,32.45001,1.4500008
7,7,2,32.45001,33.45001,1.0
9,7,3,33.45001,33.821007,0.37099838
11,7,4,34.473003,35.223003,0.75
16,7,5,35.223003,35.327003,0.10400009
0,8,0,15.0,16.0,1.0
2,8,1,18.45,19.900002,1.4500008
5,8,2,32.815006,33.815006,1.0
10,8,3,34.223003,34.871002,0.6479988
11,8,4,35.223003,35.723003,0.5
16,8,5,35.723003,36.358,0.6349983
0,9,0,16.0,17.0,1.0
3,9,1,32.45001,33.90001,1.4500008
7,9,2,33.90001,34.90001,1.0
8,9,3,34.90001,35.14701,0.24700165
11,9,4,35.723003,35.973003,0.25
16,9,5,36.358,36.427002,0.069000244
1,10,0,18.0,19.0,1.0
3,10,1,33.90001,35.35001,1.4500008
5,10,2,35.35001,37.16501,1.8149986
10,10,3,37.16501,37.807007,0.6419983
11,10,4,37.807007,38.057007,0.25
16,10,5,38.057007,38.68601,0.6290016
0,11,0,17.0,18.0,1.0
2,11,1,19.900002,21.350002,1.4500008
5,11,2,37.16501,38.16501,1.0
10,11,3,38.16501,38.931007,0.76599884
11,11,4,38.931007,39.181007,0.25
0,12,0,18.0,19.0,1.0
2,12,1,21.350002,22.800003,1.4500008
5,12,2,38.16501,39.16501,1.0
8,12,3,39.16501,39.536007,0.37099838
11,12,4,39.536007,40.286007,0.75
16,12,5,40.286007,40.390007,0.10400009
0,13,0,10.0,11.0,1.0
3,13,1,22.300003,23.750004,1.4500008
6,13,2,23.750004,24.750004,1.0
10,13,3,24.750004,25.398005,0.6480007
11,13,4,25.398005,25.898005,0.5
16,13,5,25.898005,26.533005,0.6350002
1,14,0,19.0,20.0,1.0
3,14,1,36.80001,38.25001,1.4500008
6,14,2,38.25001,39.25001,1.0
8,14,3,39.536007,39.78301,0.24700165
11,14,4,41.872005,42.122005,0.25
16,14,5,42.501007,42.570007,0.069000244
1,15,0,20.0,21.0,1.0
2,15,1,22.800003,24.250004,1.4500008
5,15,2,40.980007,42.795006,1.8149986
10,15,3,42.795006,43.437004,0.6419983
11,15,4,43.437004,43.687004,0.25
16,15,5,43.687004,44.316006,0.6290016
1,16,0,21.0,22.0,1.0
3,16,1,38.25001,39.700012,1.4500008
5,16,2,42.795006,43.795006,1.0
10,16,3,43.795006,44.561005,0.76599884
11,16,4,44.561005,44.811005,0.25
0,17,0,20.0,21.0,1.0
2,17,1,24.250004,25.700005,1.4500008
7,17,2,34.90001,35.90001,1.0
8,17,3,39.78301,40.154007,0.37099838
11,17,4,44.811005,45.561005,0.75
16,17,5,45.561005,45.665005,0.10400009
1,18,0,22.0,23.0,1.0
3,18,1,39.700012,41.150013,1.4500008
7,18,2,41.150013,42.150013,1.0
10,18,3,44.561005,45.209003,0.6479988
11,18,4,45.561005,46.061005,0.5
16,18,5,46.061005,46.696003,0.6349983
0,19,0,21.0,22.0,1.0
3,19,1,41.150013,42.600014,1.4500008
7,19,2,42.600014,43.600014,1.0
9,19,3,43.600014,43.847015,0.24700165
11,19,4,46.061005,46.311005,0.25
16,19,5,46.696003,46.765003,0.069000244
1,20,0,23.0,24.0,1.0
2,20,1,25.700005,27.150005,1.4500008
5,20,2,43.795006,45.610004,1.8149986
10,20,3,45.610004,46.252003,0.6419983
11,20,4,46.311005,46.561005,0.25
16,20,5,46.765003,47.394005,0.6290016
0,21,0,22.0,23.0,1.0
3,21,1,42.600014,44.050014,1.4500008
6,21,2,44.050014,45.050014,1.0
10,21,3,46.252003,47.018,0.76599884
11,21,4,47.018,47.268,0.25
1,22,0,24.0,25.0,1.0
3,22,1,44.050014,45.500015,1.4500008
6,22,2,45.500015,46.500015,1.0
9,22,3,46.500015,46.871014,0.37099838
11,22,4,47.268,48.018,0.75
16,22,5,48.018,48.122,0.10400009
1,23,0,25.0,26.0,1.0
3,23,1,45.500015,46.950016,1.4500008
6,23,2,46.950016,47.950016,1.0
10,23,3,47.950016,48.598015,0.6479988
11,23,4,48.598015,49.098015,0.5
16,23,5,49.098015,49.733013,0.6349983
1,24,0,26.0,27.0,1.0
2,24,1,27.150005,28.600006,1.4500008
5,24,2,45.610004,46.610004,1.0
8,24,3,46.610004,46.857006,0.24700165
11,24,4,49.098015,49.348015,0.25
16,24,5,49.733013,49.802013,0.069000244
1,25,0,7.0,8.0,1.0
2,25,1,11.15,12.599999,1.4499998
5,25,2,12.599999,14.414999,1.8149996
10,25,3,14.414999,15.056999,0.6420002
11,25,4,15.056999,15.306999,0.25
16,25,5,15.306999,15.935999,0.6289997
0,26,0,1.0,2.0,1.0
3,26,1,2.0,3.45,1.45
7,26,2,3.45,4.45,0.99999976
10,26,3,4.45,5.2159996,0.7659998
11,26,4,5.2159996,5.4659996,0.25
1,27,0,0.0,1.0,1.0
2,27,1,2.45,3.9,1.45
6,27,2,3.9,4.9,1.0
8,27,3,4.9,5.271,0.3709998
11,27,4,5.4659996,6.2159996,0.75
16,27,5,6.2159996,6.3199997,0.10400009
1,28,0,1.0,2.0,1.0
3,28,1,3.45,4.9,1.45
6,28,2,4.9,5.9,1.0
10,28,3,5.9,6.5480003,0.64800024
11,28,4,6.5480003,7.0480003,0.5
