,Order,Stage,Start,Finish,Duration
0,0,0,17.0,18.0,1.0
3,0,1,54.350014,55.800014,1.4500008
5,0,2,55.800014,57.615013,1.8149986
10,0,3,57.615013,58.25701,0.6419983
11,0,4,58.25701,58.50701,0.25
16,0,5,58.50701,59.136013,0.6290016
0,1,0,9.0,10.0,1.0
2,1,1,17.45,18.900002,1.4500008
6,1,2,43.750008,44.750008,1.0
10,1,3,46.313004,47.079002,0.76599884
11,1,4,47.997,48.247,0.25
0,2,0,10.0,11.0,1.0
3,2,1,44.20001,45.65001,1.4500008
5,2,2,45.665005,46.665005,1.0
8,2,3,46.665005,47.036003,0.37099838
11,2,4,48.247,48.997,0.75
16,2,5,48.997,49.101,0.10400009
0,3,0,11.0,12.0,1.0
3,3,1,45.65001,47.10001,1.4500008
6,3,2,47.10001,48.10001,1.0
10,3,3,48.10001,48.74801,0.6479988
11,3,4,48.997,49.497,0.5
16,3,5,49.497,50.132,0.6349983
0,4,0,12.0,13.0,1.0
2,4,1,18.900002,20.350002,1.4500008
6,4,2,48.10001,49.10001,1.0
8,4,3,49.10001,49.34701,0.24700165
11,4,4,49.497,49.747,0.25
16,4,5,50.132,50.201,0.069000244
1,5,0,17.0,18.0,1.0
2,5,1,20.350002,21.800003,1.4500008
5,5,2,46.665005,48.480003,1.8149986
10,5,3,48.74801,49.390007,0.6419983
11,5,4,49.747,49.997,0.25
16,5,5,50.201,50.83,0.6290016
1,6,0,18.0,19.0,1.0
3,6,1,47.10001,48.55001,1.4500008
7,6,2,48.55001,49.55001,1.0
10,6,3,49.55001,50.31601,0.76599884
11,6,4,50.31601,50.56601,0.25
1,7,0,19.0,20.0,1.0
2,7,1,21.800003,23.250004,1.4500008
7,7,2,49.55001,50.55001,1.0
8,7,3,50.55001,50.92101,0.37099838
11,7,4,50.92101,51.67101,0.75
16,7,5,51.67101,51.77501,0.10400009
0,8,0,13.0,14.0,1.0
3,8,1,48.55001,50.00001,1.4500008
5,8,2,50.00001,51.00001,1.0
10,8,3,51.00001,51.64801,0.6479988
11,8,4,51.67101,52.17101,0.5
16,8,5,52.17101,52.806007,0.6349983
0,9,0,14.0,15.0,1.0
3,9,1,50.00001,51.450012,1.4500008
5,9,2,51.450012,52.450012,1.0
8,9,3,52.450012,52.697014,0.24700165
11,9,4,52.697014,52.947014,0.25
16,9,5,52.947014,53.016014,0.069000244
1,10,0,20.0,21.0,1.0
3,10,1,51.450012,52.900013,1.4500008
5,10,2,52.900013,54.71501,1.8149986
10,10,3,54.71501,55.35701,0.6419983
11,10,4,55.35701,55.60701,0.25
16,10,5,55.60701,56.23601,0.6290016
0,11,0,15.0,16.0,1.0
2,11,1,23.250004,24.700005,1.4500008
6,11,2,49.10001,50.10001,1.0
