,Order,Stage,Start,Finish,Duration
1,0,0,20.0,21.0,1.0
4,0,1,21.0,23.331,2.3309994
6,0,2,39.70001,41.945007,2.244999
10,0,3,42.146004,42.788002,0.6419983
11,0,4,42.788002,43.038002,0.25
16,0,5,46.734997,47.364,0.6290016
0,1,0,5.0,6.0,1.0
2,1,1,12.599999,14.049999,1.4499998
6,1,2,14.049999,15.049999,1.0
10,1,3,15.049999,15.815999,0.7659998
11,1,4,15.815999,16.065998,0.24999905
0,2,0,10.0,11.0,1.0
2,2,1,25.650003,27.100004,1.4500008
5,2,2,27.100004,28.100004,1.0
9,2,3,28.100004,28.471004,0.3710003
12,2,4,28.471004,29.731005,1.2600002
14,2,5,29.731005,30.095005,0.36400032
0,3,0,17.0,18.0,1.0
2,3,1,35.800007,37.250008,1.4500008
7,3,2,37.250008,38.250008,1.0
10,3,3,38.598003,39.246002,0.6479988
12,3,4,39.246002,40.086002,0.84000015
14,3,5,41.63,43.852,2.2220001
1,4,0,2.0,3.0,1.0
2,4,1,3.9,5.3500004,1.4500003
6,4,2,5.3500004,6.3500004,1.0
8,4,3,6.3500004,6.5970006,0.24700022
11,4,4,6.5970006,6.8470006,0.25
16,4,5,6.8470006,6.9160004,0.06899977
1,5,0,22.0,23.0,1.0
4,5,1,30.323997,32.655,2.3310013
5,5,2,42.965008,44.780006,1.8149986
10,5,3,45.021,45.663,0.6419983
11,5,4,45.663,45.913,0.25
14,5,5,48.296,50.498,2.2019997
1,6,0,8.0,9.0,1.0
2,6,1,19.85,21.300001,1.4500008
7,6,2,21.300001,22.300001,1.0
10,6,3,22.300001,23.066002,0.76600075
13,6,4,23.066002,23.486002,0.42000008
0,7,0,14.0,15.0,1.0
2,7,1,31.450006,32.900005,1.4499989
7,7,2,32.900005,33.900005,1.0
9,7,3,33.971,34.342,0.37099838
12,7,4,34.342,35.601997,1.2599983
14,7,5,35.601997,35.965996,0.3639984
0,8,0,19.0,20.0,1.0
2,8,1,38.70001,40.15001,1.4500008
5,8,2,40.15001,41.15001,1.0
10,8,3,41.498005,42.146004,0.6479988
12,8,4,42.146004,42.986004,0.84000015
14,8,5,46.074,48.296,2.2220001
1,9,0,5.0,6.0,1.0
2,9,1,11.15,12.599999,1.4499998
7,9,2,12.599999,13.599999,1.0
8,9,3,13.599999,13.846999,0.24699974
13,9,4,13.846999,14.266999,0.42000008
14,9,5,14.266999,14.508999,0.24199963
0,10,0,23.0,24.0,1.0
4,10,1,37.317,39.648003,2.3310013
5,10,2,44.780006,46.595005,1.8149986
10,10,3,47.077003,47.719,0.6419983
13,10,4,47.719,48.139,0.41999817
15,10,5,49.510002,51.712,2.2019997
0,11,0,9.0,10.0,1.0
2,11,1,24.200003,25.650003,1.4500008
6,11,2,25.650003,26.650003,1.0
10,11,3,26.650003,27.416004,0.76600075
11,11,4,27.416004,27.666004,0.25
1,12,0,14.0,15.0,1.0
3,12,1,31.150003,32.600002,1.4499989
6,12,2,32.600002,33.600002,1.0
9,12,3,33.600002,33.971,0.37099838
11,12,4,33.971,34.721,0.75
15,12,5,34.721,35.085,0.3639984
0,13,0,18.0,19.0,1.0
2,13,1,37.250008,38.70001,1.4500008
6,13,2,38.70001,39.70001,1.0
10,13,3,40.048004,40.696003,0.6479988
12,13,4,40.696003,41.536003,0.84000015
14,13,5,43.852,46.074,2.2220001
0,14,0,4.0,5.0,1.0
2,14,1,9.7,11.15,1.4499998
6,14,2,11.15,12.15,1.0
8,14,3,12.15,12.396999,0.24699974
11,14,4,12.396999,12.646999,0.25
16,14,5,12.646999,12.716,0.069000244
0,15,0,20.0,21.0,1.0
4,15,1,23.331,25.661999,2.3309994
7,15,2,40.850006,43.095005,2.244999
10,15,3,43.095005,43.737003,0.6419983
12,15,4,43.737003,44.157,0.41999817
15,15,5,47.308002,49.510002,2.2019997
0,16,0,6.0,7.0,1.0
2,16,1,15.499999,16.949999,1.4499998
6,16,2,16.949999,17.949999,1.0
10,16,3,17.949999,18.716,0.76600075
11,16,4,18.716,18.966,0.25
1,17,0,13.0,14.0,1.0
3,17,1,29.700003,31.150003,1.4500008
7,17,2,31.150003,32.15,0.9999981
9,17,3,32.15,32.521,0.37099838
11,17,4,32.521,33.271,0.75
15,17,5,33.271,33.635,0.3639984
0,18,0,15.0,16.0,1.0
2,18,1,32.900005,34.350006,1.4500008
6,18,2,34.350006,35.350006,1.0
10,18,3,35.698,36.346,0.6479988
12,18,4,36.346,37.186,0.84000015
14,18,5,37.186,39.408,2.2220001
1,19,0,4.0,5.0,1.0
2,19,1,8.25,9.7,1.4499998
7,19,2,9.7,10.7,1.0
8,19,3,10.7,10.947,0.24699974
13,19,4,10.947,11.367,0.42000008
14,19,5,11.367,11.608999,0.24199963
1,20,0,23.0,24.0,1.0
4,20,1,34.986,37.317,2.3310013
6,20,2,44.190006,46.435005,2.244999
10,20,3,46.435005,47.077003,0.6419983
11,20,4,47.077003,47.327003,0.25
16,20,5,49.251003,49.880005,0.6290016
0,21,0,8.0,9.0,1.0
2,21,1,21.300001,22.750002,1.4500008
6,21,2,22.750002,23.750002,1.0
10,21,3,23.750002,24.516003,0.76600075
11,21,4,24.516003,24.766003,0.25
1,22,0,10.0,11.0,1.0
3,22,1,25.35,26.800001,1.4500008
7,22,2,26.800001,27.800001,1.0
8,22,3,45.0,45.371,0.37099838
13,22,4,45.371,46.630997,1.2599983
16,22,5,46.630997,46.734997,0.10400009
1,23,0,18.0,19.0,1.0
3,23,1,36.950005,38.400005,1.4500008
5,23,2,38.400005,39.400005,1.0
10,23,3,39.400005,40.048004,0.6479988
11,23,4,40.048004,40.548004,0.5
15,23,5,42.864002,45.086002,2.2220001
1,24,0,3.0,4.0,1.0
2,24,1,5.3500004,6.8,1.4499998
7,24,2,6.8,7.8,1.0
8,24,3,7.8,8.047,0.24699974
13,24,4,8.047,8.467,0.42000008
14,24,5,8.467,8.709,0.24199963
1,25,0,21.0,22.0,1.0
4,25,1,25.661999,27.992998,2.3309994
5,25,2,41.15001,42.965008,1.8149986
