,Order,Stage,Start,Finish,Duration
1,0,0,20.0,21.0,1.0
4,0,1,21.0,23.331,2.3309994
6,0,2,29.550005,31.795006,2.2450008
10,0,3,32.296005,32.938004,0.6419983
11,0,4,32.938004,33.188004,0.25
15,0,5,33.260006,35.462006,2.2019997
0,1,0,0.0,1.0,1.0
3,1,1,1.0,2.45,1.45
7,1,2,2.45,3.45,1.0
10,1,3,3.45,4.216,0.76600003
13,1,4,4.216,4.636,0.42000008
0,2,0,10.0,11.0,1.0
2,2,1,15.499999,16.949999,1.4499998
5,2,2,16.949999,17.949999,1.0
8,2,3,17.949999,18.321,0.3710003
13,2,4,18.321,19.581,1.2600002
15,2,5,19.581,19.945,0.36400032
0,3,0,17.0,18.0,1.0
2,3,1,25.650003,27.100004,1.4500008
5,3,2,27.100004,28.100004,1.0
10,3,3,28.748005,29.396006,0.6480007
13,3,4,29.396006,30.236006,0.84000015
16,3,5,30.236006,30.871006,0.6350002
0,4,0,2.0,3.0,1.0
3,4,1,3.9,5.3500004,1.4500003
5,4,2,5.3500004,6.3500004,1.0
9,4,3,6.3500004,6.5970006,0.24700022
11,4,4,6.5970006,6.8470006,0.25
15,4,5,6.8470006,7.0890007,0.2420001
1,5,0,22.0,23.0,1.0
3,5,1,30.000006,31.450006,1.4500008
5,5,2,32.815006,34.630005,1.8149986
10,5,3,34.864,35.505997,0.6419983
13,5,4,35.505997,35.925995,0.41999817
16,5,5,35.925995,36.554996,0.6290016
1,6,0,9.0,10.0,1.0
3,6,1,14.049999,15.499999,1.4499998
7,6,2,15.499999,16.5,1.000001
10,6,3,16.745998,17.512,0.76600075
13,6,4,17.512,17.932,0.42000008
0,7,0,14.0,15.0,1.0
3,7,1,21.300001,22.750002,1.4500008
5,7,2,22.750002,23.750002,1.0
9,7,3,23.750002,24.121002,0.3710003
11,7,4,24.121002,24.871002,0.75
16,7,5,24.871002,24.975002,0.10400009
0,8,0,19.0,20.0,1.0
2,8,1,28.550005,30.000006,1.4500008
5,8,2,30.000006,31.000006,1.0
10,8,3,31.648006,32.296005,0.6479988
12,8,4,32.296005,33.136005,0.84000015
16,8,5,33.136005,33.771004,0.6349983
1,9,0,5.0,6.0,1.0
2,9,1,8.25,9.7,1.4499998
7,9,2,9.7,10.7,1.0
8,9,3,10.7,10.947,0.24699974
12,9,4,10.947,11.367,0.42000008
14,9,5,11.367,11.608999,0.24199963
0,10,0,23.0,24.0,1.0
3,10,1,31.450006,32.900005,1.4499989
5,10,2,34.630005,36.445004,1.8149986
10,10,3,36.927002,37.569,0.6419983
13,10,4,37.569,37.989,0.41999817
14,10,5,37.989,40.190998,2.2019997
0,11,0,9.0,10.0,1.0
2,11,1,14.049999,15.499999,1.4499998
5,11,2,15.499999,16.5,1.000001
10,11,3,17.512,18.278,0.76600075
12,11,4,18.278,18.698,0.42000008
1,12,0,14.0,15.0,1.0
2,12,1,21.300001,22.750002,1.4500008
6,12,2,22.750002,23.750002,1.0
8,12,3,23.750002,24.121002,0.3710003
13,12,4,24.121002,25.381002,1.2600002
15,12,5,25.381002,25.745003,0.36400032
0,13,0,18.0,19.0,1.0
2,13,1,27.100004,28.550005,1.4500008
5,13,2,28.550005,29.550005,1.0
10,13,3,30.198006,30.846006,0.6480007
11,13,4,30.846006,31.346006,0.5
16,13,5,31.346006,31.981007,0.6350002
0,14,0,3.0,4.0,1.0
3,14,1,5.3500004,6.8,1.4499998
5,14,2,6.8,7.8,1.0
9,14,3,7.8,8.047,0.24699974
11,14,4,8.047,8.297,0.25
16,14,5,8.297,8.366,0.069000244
0,15,0,20.0,21.0,1.0
4,15,1,23.331,25.661999,2.3309994
5,15,2,31.000006,32.815006,1.8150005
10,15,3,32.938004,33.58,0.6419983
13,15,4,33.58,34.0,0.41999817
16,15,5,34.0,34.629,0.6290016
0,16,0,5.0,6.0,1.0
3,16,1,8.25,9.7,1.4499998
5,16,2,9.7,10.7,1.0
10,16,3,10.7,11.466,0.7659998
11,16,4,11.466,11.716,0.25
1,17,0,13.0,14.0,1.0
2,17,1,19.85,21.300001,1.4500008
7,17,2,21.300001,22.300001,1.0
8,17,3,22.300001,22.671001,0.3710003
12,17,4,22.671001,23.931002,1.2600002
14,17,5,23.931002,24.295002,0.36400032
0,18,0,15.0,16.0,1.0
3,18,1,22.750002,24.200003,1.4500008
5,18,2,24.200003,25.200003,1.0
10,18,3,25.848003,26.496004,0.6480007
11,18,4,26.496004,26.996004,0.5
16,18,5,26.996004,27.631004,0.6350002
0,19,0,4.0,5.0,1.0
3,19,1,6.8,8.25,1.4499998
5,19,2,8.25,9.25,1.0
9,19,3,9.25,9.497,0.24699974
11,19,4,9.497,9.747,0.25
16,19,5,9.747,9.816,0.069000244
1,20,0,23.0,24.0,1.0
4,20,1,30.323997,32.655,2.3310013
6,20,2,34.040005,36.285004,2.244999
10,20,3,36.285004,36.927002,0.6419983
11,20,4,36.927002,37.177002,0.25
16,20,5,37.177002,37.806004,0.6290016
0,21,0,8.0,9.0,1.0
2,21,1,12.599999,14.049999,1.4499998
5,21,2,14.049999,15.049999,1.0
10,21,3,15.979999,16.745998,0.7659998
11,21,4,16.745998,16.995998,0.25
1,22,0,10.0,11.0,1.0
3,22,1,15.499999,16.949999,1.4499998
6,22,2,16.949999,17.949999,1.0
9,22,3,17.949999,18.321,0.3710003
11,22,4,18.321,19.071,0.75
16,22,5,19.071,19.175,0.10400009
1,23,0,18.0,19.0,1.0
3,23,1,27.100004,28.550005,1.4500008
6,23,2,28.550005,29.550005,1.0
10,23,3,29.550005,30.198006,0.6480007
12,23,4,30.198006,31.038006,0.84000015
15,23,5,31.038006,33.260006,2.2220001
1,24,0,3.0,4.0,1.0
2,24,1,5.3500004,6.8,1.4499998
7,24,2,6.8,7.8,1.0
8,24,3,7.8,8.047,0.24699974
12,24,4,8.047,8.467,0.42000008
14,24,5,8.467,8.709,0.24199963
1,25,0,21.0,22.0,1.0
4,25,1,25.661999,27.992998,2.3309994
7,25,2,31.000006,33.245007,2.2450008
