,Order,Stage,Start,Finish,Duration
0,0,0,25.0,26.0,1.0
3,0,1,45.75001,47.200012,1.4500008
5,0,2,47.75001,49.56501,1.8149986
10,0,3,49.836002,50.478,0.6419983
11,0,4,56.371,56.621,0.25
16,0,5,58.22098,58.849983,0.6290016
1,1,0,4.0,5.0,1.0
2,1,1,12.15,13.599999,1.4499998
6,1,2,27.900002,28.900002,1.0
10,1,3,28.900002,29.666002,0.76600075
11,1,4,29.666002,29.916002,0.25
1,2,0,7.0,8.0,1.0
3,2,1,35.600006,37.050007,1.4500008
5,2,2,37.050007,38.050007,1.0
9,2,3,38.050007,38.421005,0.37099838
11,2,4,38.421005,39.171005,0.75
16,2,5,39.171005,39.275005,0.10400009
0,3,0,22.0,23.0,1.0
2,3,1,29.550007,31.000008,1.4500008
7,3,2,43.40001,44.40001,1.0
10,3,3,46.59601,47.244007,0.6479988
11,3,4,53.871,54.371,0.5
16,3,5,55.04599,55.68099,0.6349983
0,4,0,2.0,3.0,1.0
2,4,1,4.9,6.3500004,1.4500003
5,4,2,6.3500004,7.3500004,1.0
9,4,3,7.3500004,7.5970006,0.24700022
11,4,4,7.5970006,7.8470006,0.25
16,4,5,7.8470006,7.9160004,0.06899977
0,5,0,27.0,28.0,1.0
3,5,1,51.550014,53.000015,1.4500008
5,5,2,55.010006,56.825005,1.8149986
10,5,3,56.825005,57.467003,0.6419983
11,5,4,57.467003,57.717003,0.25
16,5,5,60.736988,61.36599,0.6290016
0,6,0,10.0,11.0,1.0
2,6,1,15.049999,16.5,1.4500008
7,6,2,29.350002,30.350002,1.0
10,6,3,33.782,34.548,0.76599884
11,6,4,34.548,34.798,0.25
1,7,0,11.0,12.0,1.0
3,7,1,39.95001,41.40001,1.4500008
7,7,2,41.40001,42.40001,1.0
9,7,3,42.40001,42.771008,0.37099838
11,7,4,50.621,51.371,0.75
16,7,5,51.371,51.475,0.10400009
1,8,0,14.0,15.0,1.0
2,8,1,33.90001,35.35001,1.4500008
7,8,2,44.40001,45.40001,1.0
10,8,3,49.188004,49.836002,0.6479988
11,8,4,55.871,56.371,0.5
16,8,5,57.585983,58.22098,0.6349983
0,9,0,6.0,7.0,1.0
2,9,1,10.7,12.15,1.4499998
5,9,2,12.15,13.15,1.0
8,9,3,13.15,13.396999,0.24699974
11,9,4,28.397001,28.647001,0.25
16,9,5,28.647001,28.716002,0.069000244
1,10,0,18.0,19.0,1.0
3,10,1,55.900017,57.350018,1.4500008
5,10,2,60.455,62.27,1.8149986
10,10,3,62.27,62.912,0.6419983
11,10,4,62.912,63.162,0.25
16,10,5,63.162,63.791,0.6290016
0,11,0,13.0,14.0,1.0
2,11,1,16.5,17.95,1.4500008
7,11,2,35.150005,36.150005,1.0
10,11,3,36.150005,36.916004,0.76599884
11,11,4,36.916004,37.166004,0.25
1,12,0,10.0,11.0,1.0
2,12,1,23.750004,25.200005,1.4500008
6,12,2,40.95001,41.95001,1.0
8,12,3,46.112995,46.483994,0.37099838
11,12,4,49.871,50.621,0.75
16,12,5,50.621,50.725,0.10400009
0,13,0,24.0,25.0,1.0
2,13,1,31.000008,32.45001,1.4500008
6,13,2,45.30001,46.30001,1.0
10,13,3,47.892006,48.540005,0.6479988
11,13,4,54.871,55.371,0.5
16,13,5,56.315987,56.950985,0.6349983
0,14,0,5.0,6.0,1.0
3,14,1,25.45,26.900002,1.4500008
6,14,2,26.900002,27.900002,1.0
9,14,3,27.900002,28.147001,0.24699974
11,14,4,28.147001,28.397001,0.25
16,14,5,28.397001,28.466002,0.069000244
1,15,0,15.0,16.0,1.0
3,15,1,47.200012,48.650013,1.4500008
5,15,2,49.56501,51.38001,1.8149986
10,15,3,51.38001,52.022007,0.6419983
11,15,4,56.621,56.871,0.25
16,15,5,58.849983,59.478985,0.6290016
0,16,0,8.0,9.0,1.0
3,16,1,28.350002,29.800003,1.4500008
5,16,2,29.800003,30.800003,1.0
10,16,3,30.800003,31.566004,0.76600075
11,16,4,31.566004,31.816004,0.25
0,17,0,17.0,18.0,1.0
2,17,1,22.300003,23.750004,1.4500008
7,17,2,39.500008,40.500008,1.0
9,17,3,40.500008,40.871006,0.37099838
11,17,4,48.371,49.121,0.75
16,17,5,49.121,49.225,0.10400009
0,18,0,19.0,20.0,1.0
3,18,1,41.40001,42.85001,1.4500008
6,18,2,42.95001,43.95001,1.0
10,18,3,43.95001,44.598007,0.6479988
11,18,4,51.871,52.371,0.5
16,18,5,52.505997,53.140995,0.6349983
0,19,0,4.0,5.0,1.0
2,19,1,9.25,10.7,1.4499998
5,19,2,10.7,11.7,1.0
8,19,3,11.7,11.947,0.24699974
11,19,4,26.947,27.197,0.25
16,19,5,27.197,27.266,0.069000244
0,20,0,28.0,29.0,1.0
3,20,1,54.450016,55.900017,1.4500008
5,20,2,58.640003,60.455,1.8149986
10,20,3,60.455,61.097,0.6419983
11,20,4,61.097,61.347,0.25
16,20,5,61.99499,62.623993,0.6290016
0,21,0,11.0,12.0,1.0
3,21,1,31.250004,32.700005,1.4500008
6,21,2,32.700005,33.700005,1.0
10,21,3,34.548,35.314,0.76599884
11,21,4,35.314,35.564,0.25
1,22,0,6.0,7.0,1.0
3,22,1,34.150005,35.600006,1.4500008
7,22,2,36.150005,37.150005,1.0
9,22,3,37.150005,37.521004,0.37099838
11,22,4,37.521004,38.271004,0.75
16,22,5,38.271004,38.375004,0.10400009
0,23,0,23.0,24.0,1.0
3,23,1,44.30001,45.75001,1.4500008
5,23,2,45.75001,46.75001,1.0
10,23,3,47.244007,47.892006,0.6479988
11,23,4,54.371,54.871,0.5
16,23,5,55.68099,56.315987,0.6349983
0,24,0,3.0,4.0,1.0
2,24,1,7.8,9.25,1.4499998
7,24,2,9.25,10.25,1.0
