,Order,Stage,Start,Finish,Duration
1,0,0,17.0,18.0,1.0
3,0,1,26.650005,28.100006,1.4500008
5,0,2,35.550007,37.365005,1.8149986
10,0,3,39.098007,39.740005,0.6419983
11,0,4,39.740005,39.990005,0.25
16,0,5,40.233006,40.862007,0.6290016
0,1,0,0.0,1.0,1.0
2,1,1,1.0,2.45,1.45
7,1,2,2.45,3.45,1.0
10,1,3,3.45,4.216,0.76600003
11,1,4,4.216,4.466,0.25
1,2,0,7.0,8.0,1.0
2,2,1,17.15,18.6,1.4500008
5,2,2,19.95,20.95,1.0
8,2,3,20.95,21.321001,0.3710003
11,2,4,22.144005,22.894005,0.75
16,2,5,22.894005,22.998005,0.10400009
0,3,0,19.0,20.0,1.0
2,3,1,31.650007,33.100006,1.4499989
6,3,2,33.100006,34.100006,1.0
10,3,3,34.100006,34.748005,0.6479988
11,3,4,34.748005,35.248005,0.5
16,3,5,35.248005,35.883003,0.6349983
0,4,0,5.0,6.0,1.0
3,4,1,7.8,9.25,1.4499998
7,4,2,9.25,10.25,1.0
8,4,3,10.25,10.497,0.24699974
11,4,4,10.497,10.747,0.25
16,4,5,10.747,10.816,0.069000244
0,5,0,23.0,24.0,1.0
2,5,1,38.90001,40.35001,1.4500008
5,5,2,42.81,44.625,1.8149986
10,5,3,44.625,45.267,0.6419983
11,5,4,45.267,45.517,0.25
16,5,5,45.517,46.146,0.6290016
0,6,0,11.0,12.0,1.0
3,6,1,16.5,17.95,1.4500008
5,6,2,17.95,18.95,1.0
10,6,3,19.612003,20.378004,0.76600075
11,6,4,20.378004,20.628004,0.25
0,7,0,16.0,17.0,1.0
2,7,1,24.400003,25.850004,1.4500008
6,7,2,25.850004,26.850004,1.0
9,7,3,26.850004,27.221004,0.3710003
11,7,4,28.144005,28.894005,0.75
16,7,5,28.894005,28.998005,0.10400009
0,8,0,22.0,23.0,1.0
2,8,1,36.000008,37.45001,1.4500008
7,8,2,37.45001,38.45001,1.0
10,8,3,38.45001,39.098007,0.6479988
11,8,4,39.098007,39.598007,0.5
16,8,5,39.598007,40.233006,0.6349983
1,9,0,2.0,3.0,1.0
2,9,1,9.9,11.349999,1.4499998
5,9,2,11.349999,12.349999,1.0
8,9,3,13.497,13.7439995,0.24699974
11,9,4,13.747,13.997,0.25
16,9,5,13.997,14.066,0.069000244
1,10,0,23.0,24.0,1.0
3,10,1,32.45001,33.90001,1.4500008
5,10,2,48.254997,50.069996,1.8149986
10,10,3,50.069996,50.711994,0.6419983
11,10,4,50.711994,50.961994,0.25
16,10,5,50.961994,51.590996,0.6290016
0,11,0,12.0,13.0,1.0
2,11,1,15.699999,17.15,1.4500008
5,11,2,18.95,19.95,1.0
10,11,3,20.378004,21.144005,0.76600075
11,11,4,21.144005,21.394005,0.25
1,12,0,12.0,13.0,1.0
3,12,1,22.300003,23.750004,1.4500008
7,12,2,24.950003,25.950003,1.0
8,12,3,25.950003,26.321003,0.3710003
11,12,4,27.394005,28.144005,0.75
16,12,5,28.144005,28.248005,0.10400009
1,13,0,16.0,17.0,1.0
3,13,1,25.200005,26.650005,1.4500008
6,13,2,34.100006,35.100006,1.0
10,13,3,36.198006,36.846004,0.6479988
11,13,4,36.846004,37.346004,0.5
16,13,5,37.346004,37.981003,0.6349983
0,14,0,6.0,7.0,1.0
2,14,1,7.0,8.45,1.4499998
7,14,2,10.25,11.25,1.0
8,14,3,11.25,11.497,0.24699974
11,14,4,11.497,11.747,0.25
16,14,5,11.747,11.816,0.069000244
1,15,0,18.0,19.0,1.0
3,15,1,28.100006,29.550007,1.4500008
5,15,2,37.365005,39.180004,1.8149986
10,15,3,39.740005,40.382004,0.6419983
11,15,4,40.382004,40.632004,0.25
16,15,5,40.862007,41.49101,0.6290016
0,16,0,8.0,9.0,1.0
3,16,1,10.7,12.15,1.4499998
7,16,2,13.25,14.25,1.0
10,16,3,14.25,15.016,0.7659998
11,16,4,15.016,15.266,0.25
1,17,0,10.0,11.0,1.0
3,17,1,20.850002,22.300003,1.4500008
7,17,2,23.950003,24.950003,1.0
9,17,3,24.950003,25.321003,0.3710003
11,17,4,25.894005,26.644005,0.75
16,17,5,26.644005,26.748005,0.10400009
0,18,0,17.0,18.0,1.0
3,18,1,23.750004,25.200005,1.4500008
6,18,2,26.850004,27.850004,1.0
10,18,3,28.948006,29.596006,0.6480007
11,18,4,29.596006,30.096006,0.5
16,18,5,30.096006,30.731007,0.6350002
0,19,0,7.0,8.0,1.0
3,19,1,9.25,10.7,1.4499998
7,19,2,12.25,13.25,1.0
8,19,3,13.25,13.497,0.24699974
11,19,4,13.497,13.747,0.25
16,19,5,13.747,13.816,0.069000244
1,20,0,22.0,23.0,1.0
3,20,1,31.000008,32.45001,1.4500008
5,20,2,46.44,48.254997,1.8149986
10,20,3,48.254997,48.896996,0.6419983
11,20,4,48.896996,49.146996,0.25
16,20,5,49.146996,49.775997,0.6290016
1,21,0,6.0,7.0,1.0
3,21,1,15.049999,16.5,1.4500008
6,21,2,16.5,17.5,1.0
10,21,3,18.846003,19.612003,0.76600075
11,21,4,19.612003,19.862003,0.25
0,22,0,13.0,14.0,1.0
3,22,1,17.95,19.400002,1.4500008
7,22,2,19.400002,20.400002,1.0
8,22,3,20.400002,20.771002,0.3710003
11,22,4,21.394005,22.144005,0.75
16,22,5,22.144005,22.248005,0.10400009
0,23,0,20.0,21.0,1.0
2,23,1,33.100006,34.550007,1.4500008
5,23,2,34.550007,35.550007,1.0
10,23,3,35.550007,36.198006,0.6479988
11,23,4,36.198006,36.698006,0.5
16,23,5,36.698006,37.333004,0.6349983
1,24,0,0.0,1.0,1.0
2,24,1,2.45,3.9,1.45
6,24,2,4.45,5.45,1.0
8,24,3,10.497,10.7439995,0.24699974
11,24,4,10.747,10.997,0.25
16,24,5,10.997,11.066,0.069000244
1,25,0,19.0,20.0,1.0
2,25,1,37.45001,38.90001,1.4500008
5,25,2,39.180004,40.995003,1.8149986
10,25,3,40.995003,41.637,0.6419983
11,25,4,41.637,41.887,0.25
16,25,5,41.887,42.516003,0.6290016
0,26,0,10.0,11.0,1.0
2,26,1,14.249999,15.699999,1.4499998
5,26,2,16.05,17.05,1.0
10,26,3,18.080002,18.846003,0.76600075
11,26,4,18.846003,19.096003,0.25
0,27,0,14.0,15.0,1.0
2,27,1,20.050001,21.500002,1.4500008
6,27,2,21.500002,22.500002,1.0
8,27,3,22.500002,22.871002,0.3710003
11,27,4,23.644005,24.394005,0.75
16,27,5,24.394005,24.498005,0.10400009
1,28,0,15.0,16.0,1.0
2,28,1,28.750006,30.200006,1.4500008
7,28,2,30.200006,31.200006,1.0
10,28,3,31.200006,31.848007,0.6480007
11,28,4,31.848007,32.348007,0.5
16,28,5,32.348007,32.983006,0.6349983
0,29,0,2.0,3.0,1.0
3,29,1,3.45,4.9,1.45
5,29,2,4.9,5.9,1.0
9,29,3,5.9,6.1470003,0.24700022
11,29,4,6.1470003,6.3970003,0.25
16,29,5,6.3970003,6.466,0.06899977
1,30,0,20.0,21.0,1.0
3,30,1,29.550007,31.000008,1.4500008
5,30,2,40.995003,42.81,1.8149986
10,30,3,42.81,43.452,0.6419983
11,30,4,43.452,43.702,0.25
16,30,5,43.702,44.331,0.6290016
1,31,0,5.0,6.0,1.0
2,31,1,12.799999,14.249999,1.4499998
7,31,2,14.25,15.25,1.0
10,31,3,17.314001,18.080002,0.76600075
11,31,4,18.080002,18.330002,0.25
1,32,0,8.0,9.0,1.0
2,32,1,18.6,20.050001,1.4500008
5,32,2,20.95,21.95,1.0
8,32,3,21.95,22.321001,0.3710003
11,32,4,22.894005,23.644005,0.75
16,32,5,23.644005,23.748005,0.10400009
0,33,0,18.0,19.0,1.0
2,33,1,30.200006,31.650007,1.4500008
7,33,2,31.650007,32.65001,1.0000019
10,33,3,32.65001,33.298008,0.6479988
11,33,4,33.298008,33.798008,0.5
16,33,5,33.798008,34.433006,0.6349983
0,34,0,4.0,5.0,1.0
3,34,1,6.3500004,7.8,1.4499998
7,34,2,7.8,8.8,1.0
8,34,3,8.8,9.047,0.24699974
11,34,4,9.047,9.297,0.25
16,34,5,9.297,9.366,0.069000244
0,35,0,25.0,26.0,1.0
2,35,1,43.25001,44.700012,1.4500008
5,35,2,51.884995,53.699993,1.8149986
10,35,3,53.699993,54.34199,0.6419983
11,35,4,54.34199,54.59199,0.25
16,35,5,54.59199,55.220993,0.6290016
0,36,0,9.0,10.0,1.0
2,36,1,11.349999,12.799999,1.4499998
6,36,2,12.799999,13.799999,1.0
10,36,3,15.016,15.782,0.7659998
11,36,4,15.782,16.032,0.25
1,37,0,9.0,10.0,1.0
3,37,1,19.400002,20.850002,1.4500008
5,37,2,21.95,22.95,1.0
9,37,3,22.95,23.321001,0.3710003
11,37,4,24.394005,25.144005,0.75
16,37,5,25.144005,25.248005,0.10400009
1,38,0,13.0,14.0,1.0
2,38,1,25.850004,27.300005,1.4500008
7,38,2,27.300005,28.300005,1.0
10,38,3,28.300005,28.948006,0.6480007
11,38,4,28.948006,29.448006,0.5
16,38,5,29.448006,30.083006,0.6350002
1,39,0,1.0,2.0,1.0
2,39,1,8.45,9.9,1.4499998
7,39,2,11.25,12.25,1.0
9,39,3,12.25,12.497,0.24699974
11,39,4,12.497,12.747,0.25
16,39,5,12.747,12.816,0.069000244
0,40,0,24.0,25.0,1.0
2,40,1,41.80001,43.25001,1.4500008
5,40,2,50.069996,51.884995,1.8149986
10,40,3,51.884995,52.526993,0.6419983
11,40,4,52.526993,52.776993,0.25
16,40,5,52.776993,53.405994,0.6290016
1,41,0,3.0,4.0,1.0
3,41,1,12.15,13.599999,1.4499998
6,41,2,13.799999,14.799999,1.0
10,41,3,15.782,16.548,0.76600075
11,41,4,16.548,16.798,0.25
1,42,0,11.0,12.0,1.0
2,42,1,22.950003,24.400003,1.4500008
5,42,2,24.400003,25.400003,1.0
9,42,3,25.400003,25.771004,0.3710003
11,42,4,26.644005,27.394005,0.75
16,42,5,27.394005,27.498005,0.10400009
0,43,0,21.0,22.0,1.0
2,43,1,34.550007,36.000008,1.4500008
6,43,2,36.000008,37.000008,1.0
10,43,3,37.000008,37.648006,0.6479988
11,43,4,37.648006,38.148006,0.5
16,43,5,38.148006,38.783005,0.6349983
0,44,0,3.0,4.0,1.0
3,44,1,4.9,6.3500004,1.4500003
5,44,2,6.3500004,7.3500004,1.0
9,44,3,7.3500004,7.5970006,0.24700022
11,44,4,7.5970006,7.8470006,0.25
16,44,5,7.8470006,7.9160004,0.06899977
1,45,0,21.0,22.0,1.0
2,45,1,40.35001,41.80001,1.4500008
5,45,2,44.625,46.44,1.8149986
10,45,3,46.44,47.081997,0.6419983
11,45,4,47.081997,47.331997,0.25
16,45,5,47.331997,47.961,0.6290016
1,46,0,4.0,5.0,1.0
3,46,1,13.599999,15.049999,1.4499998
5,46,2,15.049999,16.05,1.0
10,46,3,16.548,17.314001,0.76600075
11,46,4,17.314001,17.564001,0.25
0,47,0,15.0,16.0,1.0
2,47,1,21.500002,22.950003,1.4500008
7,47,2,22.950003,23.950003,1.0
9,47,3,23.950003,24.321003,0.3710003
11,47,4,25.144005,25.894005,0.75
16,47,5,25.894005,25.998005,0.10400009
1,48,0,14.0,15.0,1.0
2,48,1,27.300005,28.750006,1.4500008
5,48,2,28.750006,29.750006,1.0
10,48,3,29.750006,30.398006,0.6480007
11,48,4,30.398006,30.898006,0.5
16,48,5,30.898006,31.533007,0.6350002
0,49,0,1.0,2.0,1.0
3,49,1,2.0,3.45,1.45
6,49,2,3.45,4.45,0.99999976
8,49,3,4.45,4.697,0.24700022
11,49,4,4.697,4.947,0.25
16,49,5,4.947,5.016,0.06899977
