,Order,Stage,Start,Finish,Duration
0,0,0,8.0,9.0,1.0
4,0,1,11.331,13.662001,2.3310003
7,0,2,13.662001,15.907001,2.245
10,0,3,24.248003,24.890003,0.6420002
11,0,4,24.890003,25.140003,0.25
15,0,5,25.140003,27.342003,2.2019997
1,1,0,13.0,14.0,1.0
2,1,1,26.950005,28.400005,1.4500008
7,1,2,28.400005,29.400005,1.0
10,1,3,42.033997,42.799995,0.76599884
11,1,4,42.799995,43.049995,0.25
0,2,0,22.0,23.0,1.0
3,2,1,42.40001,43.85001,1.4500008
5,2,2,43.85001,44.85001,1.0
9,2,3,44.85001,45.22101,0.37099838
11,2,4,46.491997,47.241997,0.75
14,2,5,47.241997,47.605995,0.3639984
1,3,0,21.0,22.0,1.0
3,3,1,39.500008,40.95001,1.4500008
5,3,2,50.66501,51.66501,1.0
10,3,3,52.527,53.175,0.6479988
12,3,4,53.175,54.015,0.84000015
14,3,5,54.015,56.237,2.2220001
0,4,0,12.0,13.0,1.0
2,4,1,15.349999,16.8,1.4499998
5,4,2,37.600006,38.600006,1.0
8,4,3,50.036007,50.28301,0.24700165
12,4,4,50.28301,50.703007,0.41999817
15,4,5,50.703007,50.945007,0.24200058
1,5,0,24.0,25.0,1.0
4,5,1,30.323997,32.655,2.3310013
7,5,2,49.54501,51.79001,2.244999
10,5,3,56.120995,56.762993,0.6419983
12,5,4,56.762993,57.18299,0.41999817
14,5,5,58.923,61.125,2.2019997
1,6,0,6.0,7.0,1.0
3,6,1,25.0,26.45,1.4500008
6,6,2,33.800003,34.800003,1.0
10,6,3,35.467,36.232998,0.76599884
11,6,4,41.168003,41.418003,0.25
1,7,0,0.0,1.0,1.0
2,7,1,12.45,13.9,1.4499998
7,7,2,34.700005,35.700005,1.0
9,7,3,40.047005,40.418003,0.37099838
11,7,4,40.418003,41.168003,0.75
15,7,5,55.85301,56.217007,0.3639984
1,8,0,9.0,10.0,1.0
2,8,1,18.25,19.7,1.4500008
6,8,2,34.800003,35.800003,1.0
10,8,3,40.744,41.392,0.6479988
13,8,4,41.392,42.232,0.84000015
14,8,5,42.232,44.454,2.2220001
0,9,0,6.0,7.0,1.0
