,Order,Stage,Start,Finish,Duration
1,0,0,18.0,19.0,1.0
4,0,1,19.0,21.331,2.3309994
6,0,2,24.045002,26.29,2.244999
10,0,3,40.088,40.73,0.6419983
12,0,4,44.76799,45.18799,0.41999817
15,0,5,46.322,48.524,2.2019997
1,1,0,24.0,25.0,1.0
2,1,1,36.30001,37.75001,1.4500008
5,1,2,40.500008,41.500008,1.0
10,1,3,46.01399,46.779987,0.76599884
13,1,4,47.05199,47.47199,0.41999817
0,2,0,23.0,24.0,1.0
3,2,1,36.85001,38.30001,1.4500008
5,2,2,41.500008,42.500008,1.0
8,2,3,42.500008,42.871006,0.37099838
13,2,4,47.965984,49.225983,1.2599983
15,2,5,49.225983,49.58998,0.3639984
0,3,0,24.0,25.0,1.0
2,3,1,37.75001,39.200012,1.4500008
5,3,2,39.500008,40.500008,1.0
10,3,3,44.72399,45.37199,0.6479988
13,3,4,45.37199,46.21199,0.84000015
16,3,5,47.702,48.336998,0.6349983
0,4,0,20.0,21.0,1.0
3,4,1,35.40001,36.85001,1.4500008
5,4,2,38.500008,39.500008,1.0
9,4,3,39.500008,39.74701,0.24700165
12,4,4,46.447987,46.867985,0.41999817
16,4,5,48.75598,48.82498,0.069000244
1,5,0,22.0,23.0,1.0
4,5,1,28.323997,30.654997,2.3309994
7,5,2,39.645008,41.890007,2.244999
10,5,3,45.37199,46.01399,0.6419983
11,5,4,46.01399,46.26399,0.25
15,5,5,49.58998,51.79198,2.2019997
0,6,0,7.0,8.0,1.0
3,6,1,38.30001,39.75001,1.4500008
7,6,2,41.890007,42.890007,1.0
10,6,3,46.779987,47.545986,0.76599884
13,6,4,47.545986,47.965984,0.41999817
1,7,0,5.0,6.0,1.0
2,7,1,21.800003,23.250004,1.4500008
5,7,2,37.500008,38.500008,1.0
9,7,3,39.99401,40.36501,0.37099838
12,7,4,47.287983,48.54798,1.2599983
16,7,5,48.54798,48.65198,0.10400009
1,8,0,10.0,11.0,1.0
3,8,1,28.150005,29.600006,1.4500008
6,8,2,29.600006,30.600006,1.0
10,8,3,30.600006,31.248007,0.6480007
13,8,4,46.21199,47.05199,0.84000015
14,8,5,47.549988,49.771988,2.2220001
0,9,0,5.0,6.0,1.0
2,9,1,12.45,13.9,1.4499998
6,9,2,13.9,14.9,1.0
8,9,3,36.142006,36.389008,0.24700165
12,9,4,38.946003,39.366,0.41999817
14,9,5,39.366,39.608,0.24200058
1,10,0,1.0,2.0,1.0
4,10,1,21.331,23.661999,2.3309994
7,10,2,37.40001,39.645008,2.244999
10,10,3,42.025997,42.667995,0.6419983
12,10,4,42.667995,43.087994,0.41999817
16,10,5,44.932,45.561,0.6290016
0,11,0,4.0,5.0,1.0
3,11,1,33.95001,35.40001,1.4500008
6,11,2,37.30001,38.30001,1.0
10,11,3,38.680004,39.446003,0.76599884
13,11,4,39.446003,39.866,0.41999817
1,12,0,9.0,10.0,1.0
2,12,1,27.600006,29.050007,1.4500008
7,12,2,34.40001,35.40001,1.0
8,12,3,35.40001,35.771008,0.37099838
12,12,4,37.686005,38.946003,1.2599983
16,12,5,43.500996,43.604996,0.10400009
0,13,0,14.0,15.0,1.0
3,13,1,15.0,16.45,1.4500008
7,13,2,20.576,21.576,1.0
10,13,3,34.076004,34.724003,0.6479988
11,13,4,37.24701,37.74701,0.5
15,13,5,44.1,46.322,2.2220001
1,14,0,6.0,7.0,1.0
2,14,1,24.700005,26.150005,1.4500008
7,14,2,30.700005,31.700005,1.0
9,14,3,31.847006,32.094006,0.24699974
12,14,4,39.366,39.786,0.41999817
16,14,5,45.561,45.63,0.069000244
1,15,0,21.0,22.0,1.0
4,15,1,23.661999,25.992998,2.3309994
6,15,2,33.600006,35.845005,2.244999
10,15,3,39.446003,40.088,0.6419983
11,15,4,40.088,40.338,0.25
16,15,5,40.338,40.967003,0.6290016
1,16,0,16.0,17.0,1.0
2,16,1,18.900002,20.350002,1.4500008
5,16,2,35.500008,36.500008,1.0
10,16,3,36.500008,37.266006,0.76599884
12,16,4,37.266006,37.686005,0.41999817
1,17,0,20.0,21.0,1.0
3,17,1,26.700005,28.150005,1.4500008
5,17,2,33.500008,34.500008,1.0
8,17,3,35.771008,36.142006,0.37099838
11,17,4,44.97399,45.72399,0.75
16,17,5,47.598,47.702,0.10400009
0,18,0,13.0,14.0,1.0
2,18,1,17.45,18.900002,1.4500008
5,18,2,18.900002,19.900002,1.0
10,18,3,33.428005,34.076004,0.6479988
11,18,4,35.99701,36.49701,0.5
16,18,5,36.49701,37.132008,0.6349983
0,19,0,9.0,10.0,1.0
3,19,1,19.45,20.900002,1.4500008
6,19,2,31.600006,32.600006,1.0
8,19,3,36.760006,37.007008,0.24700165
12,19,4,44.347992,44.76799,0.41999817
16,19,5,45.63,45.699,0.069000244
1,20,0,7.0,8.0,1.0
2,20,1,20.350002,21.800003,1.4500008
6,20,2,21.800003,24.045002,2.244999
10,20,3,24.045002,24.687002,0.6420002
11,20,4,24.687002,24.937002,0.25
16,20,5,44.302998,44.932,0.6290016
0,21,0,2.0,3.0,1.0
