,Order,Stage,Start,Finish,Duration
1,0,0,23.0,24.0,1.0
3,0,1,32.40001,33.85001,1.4500008
5,0,2,49.575,51.39,1.8149986
10,0,3,55.206013,55.84801,0.6419983
11,0,4,58.184,58.434,0.25
16,0,5,60.517,61.146,0.6290016
0,1,0,21.0,22.0,1.0
2,1,1,31.300007,32.750008,1.4500008
6,1,2,32.750008,33.750008,1.0
10,1,3,45.16399,45.92999,0.76599884
11,1,4,46.434,46.684,0.25
0,2,0,10.0,11.0,1.0
2,2,1,28.400005,29.850006,1.4500008
6,2,2,29.850006,30.850006,1.0
9,2,3,30.850006,31.221006,0.3710003
11,2,4,42.684,43.434,0.75
16,2,5,43.434,43.538,0.10400009
1,3,0,18.0,19.0,1.0
3,3,1,29.500008,30.950008,1.4500008
7,3,2,39.55001,40.55001,1.0
10,3,3,47.225986,47.873985,0.6479988
11,3,4,50.434,50.934,0.5
16,3,5,51.876995,52.511993,0.6349983
1,4,0,22.0,23.0,1.0
2,4,1,42.900013,44.350014,1.4500008
5,4,2,45.575,46.575,1.0
9,4,3,46.575,46.822002,0.24700165
11,4,4,58.434,58.684,0.25
16,4,5,58.684,58.753,0.069000244
1,5,0,15.0,16.0,1.0
3,5,1,25.150005,26.600006,1.4500008
5,5,2,35.130005,36.945004,1.8149986
10,5,3,47.873985,48.515984,0.6419983
11,5,4,51.184,51.434,0.25
16,5,5,52.511993,53.140995,0.6290016
1,6,0,17.0,18.0,1.0
3,6,1,30.950008,32.40001,1.4500008
5,6,2,46.575,47.575,1.0
10,6,3,51.21998,51.985977,0.76599884
11,6,4,56.684,56.934,0.25
0,7,0,8.0,9.0,1.0
2,7,1,15.349999,16.8,1.4499998
7,7,2,21.800003,22.800003,1.0
8,7,3,43.069004,43.440002,0.37099838
11,7,4,53.184,53.934,0.75
16,7,5,53.934,54.038,0.10400009
0,8,0,25.0,26.0,1.0
3,8,1,36.75001,38.200012,1.4500008
6,8,2,53.150017,54.150017,1.0
10,8,3,56.49001,57.13801,0.6479988
11,8,4,59.434,59.934,0.5
16,8,5,61.781,62.415997,0.6349983
1,9,0,8.0,9.0,1.0
3,9,1,9.0,10.45,1.4499998
5,9,2,27.500004,28.500004,1.0
9,9,3,28.500004,28.747004,0.24699974
11,9,4,43.934,44.184,0.25
16,9,5,48.313,48.382,0.069000244
1,10,0,9.0,10.0,1.0
2,10,1,18.25,19.7,1.4500008
5,10,2,28.500004,30.315004,1.8150005
10,10,3,30.315004,30.957005,0.6420002
11,10,4,41.684,41.934,0.25
16,10,5,42.318996,42.947998,0.6290016
0,11,0,12.0,13.0,1.0
2,11,1,16.8,18.25,1.4500008
5,11,2,18.25,19.25,1.0
10,11,3,39.402,40.168,0.76599884
11,11,4,46.184,46.434,0.25
1,12,0,21.0,22.0,1.0
2,12,1,40.00001,41.450012,1.4500008
6,12,2,41.450012,42.450012,1.0
9,12,3,42.450012,42.82101,0.37099838
11,12,4,48.684,49.434,0.75
16,12,5,53.140995,53.244995,0.10400009
1,13,0,20.0,21.0,1.0
2,13,1,44.350014,45.800014,1.4500008
6,13,2,51.150017,52.150017,1.0
10,13,3,53.916016,54.564014,0.6479988
11,13,4,57.434,57.934,0.5
16,13,5,61.146,61.781,0.6349983
1,14,0,5.0,6.0,1.0
3,14,1,28.050007,29.500008,1.4500008
7,14,2,29.500008,30.500008,1.0
8,14,3,42.822002,43.069004,0.24700165
11,14,4,56.434,56.684,0.25
16,14,5,56.684,56.753,0.069000244
1,15,0,13.0,14.0,1.0
2,15,1,26.950005,28.400005,1.4500008
5,15,2,31.315004,33.130005,1.8150005
10,15,3,49.92998,50.57198,0.6419983
11,15,4,51.684,51.934,0.25
16,15,5,54.672997,55.302,0.6290016
0,16,0,14.0,15.0,1.0
2,16,1,21.150002,22.600002,1.4500008
5,16,2,34.130005,35.130005,1.0
10,16,3,43.631992,44.39799,0.76599884
11,16,4,50.934,51.184,0.25
