,Order,Stage,Start,Finish,Duration
0,0,0,3.0,4.0,1.0
2,0,1,23.050003,24.500004,1.4500008
5,0,2,43.230003,45.045002,1.8149986
10,0,3,47.693,48.335,0.6419983
11,0,4,49.292004,49.542004,0.25
16,0,5,78.88102,79.51002,0.6289978
0,1,0,2.0,3.0,1.0
3,1,1,37.050007,38.500008,1.4500008
5,1,2,49.045002,50.045002,1.0
10,1,3,50.045002,50.811,0.76599884
11,1,4,70.35503,70.60503,0.25
1,2,0,18.0,19.0,1.0
2,2,1,33.20001,34.65001,1.4500008
7,2,2,54.000015,55.000015,1.0
9,2,3,66.61602,66.98702,0.3710022
11,2,4,75.873024,76.623024,0.75
16,2,5,80.42201,80.52601,0.10399628
0,3,0,9.0,10.0,1.0
3,3,1,44.30001,45.75001,1.4500008
5,3,2,50.045002,51.045002,1.0
10,3,3,70.12302,70.77102,0.6480026
11,3,4,84.623024,85.123024,0.5
16,3,5,85.764015,86.39902,0.63500214
1,4,0,15.0,16.0,1.0
2,4,1,17.25,18.7,1.4500008
7,4,2,58.000015,59.000015,1.0
8,4,3,59.000015,59.247017,0.24700165
11,4,4,77.873024,78.123024,0.25
16,4,5,79.51002,79.57902,0.069000244
1,5,0,3.0,4.0,1.0
3,5,1,4.0,25.45,21.45
5,5,2,25.45,27.265001,1.8150005
10,5,3,27.265001,27.907001,0.6420002
11,5,4,27.907001,28.157001,0.25
16,5,5,40.713005,41.342007,0.6290016
1,6,0,12.0,13.0,1.0
3,6,1,53.000015,54.450016,1.4500008
5,6,2,64.24502,65.24502,1.0
10,6,3,65.24502,66.01102,0.76599884
11,6,4,77.623024,77.873024,0.25
1,7,0,11.0,12.0,1.0
3,7,1,31.250004,32.700005,1.4500008
5,7,2,40.230003,41.230003,1.0
9,7,3,68.59403,68.965034,0.3710022
11,7,4,85.623024,86.373024,0.75
16,7,5,87.66302,87.76701,0.10399628
1,8,0,22.0,23.0,1.0
2,8,1,25.950005,27.400005,1.4500008
7,8,2,33.250004,34.250004,1.0
10,8,3,69.47501,70.12302,0.6480026
11,8,4,85.123024,85.623024,0.5
16,8,5,87.76701,88.402016,0.63500214
1,9,0,2.0,3.0,1.0
3,9,1,39.95001,41.40001,1.4500008
6,9,2,41.40001,42.40001,1.0
9,9,3,48.292004,48.539005,0.24700165
11,9,4,48.792004,49.042004,0.25
16,9,5,49.042004,49.111004,0.069000244
0,10,0,11.0,12.0,1.0
2,10,1,12.9,14.349999,1.4499998
5,10,2,28.265001,30.080002,1.8150005
10,10,3,30.080002,30.722002,0.6420002
11,10,4,30.722002,30.972002,0.25
16,10,5,40.084003,40.713005,0.6290016
0,11,0,7.0,8.0,1.0
2,11,1,11.45,12.9,1.4499998
6,11,2,29.350002,30.350002,1.0
10,11,3,41.638,42.404,0.76599884
11,11,4,49.042004,49.292004,0.25
1,12,0,4.0,5.0,1.0
3,12,1,38.500008,39.95001,1.4500008
5,12,2,45.045002,46.045002,1.0
9,12,3,67.60503,67.97603,0.3710022
11,12,4,69.35503,70.10503,0.75
16,12,5,80.318016,80.42201,0.10399628
0,13,0,14.0,15.0,1.0
2,13,1,24.500004,25.950005,1.4500008
5,13,2,46.045002,47.045002,1.0
10,13,3,47.045002,47.693,0.6479988
11,13,4,49.542004,50.042004,0.5
16,13,5,50.042004,50.677002,0.6349983
1,14,0,21.0,22.0,1.0
2,14,1,39.00001,40.450012,1.4500008
7,14,2,59.000015,60.000015,1.0
9,14,3,68.965034,69.212036,0.24700165
11,14,4,82.123024,82.373024,0.25
16,14,5,84.22903,84.29803,0.069000244
1,15,0,5.0,6.0,1.0
3,15,1,54.450016,55.900017,1.4500008
5,15,2,60.615017,62.430016,1.8149986
10,15,3,66.65902,67.30102,0.6419983
11,15,4,68.60503,68.85503,0.25
16,15,5,78.25202,78.88102,0.6289978
1,16,0,16.0,17.0,1.0
2,16,1,37.55001,39.00001,1.4500008
5,16,2,68.06002,69.06002,1.0
10,16,3,76.06103,76.82703,0.76599884
11,16,4,80.123024,80.373024,0.25
1,17,0,28.0,29.0,1.0
3,17,1,58.80002,60.25002,1.4500008
5,17,2,72.87502,73.87502,1.0
8,17,3,73.87502,74.246025,0.3710022
11,17,4,83.873024,84.623024,0.75
16,17,5,85.03102,85.13502,0.10399628
1,18,0,13.0,14.0,1.0
3,18,1,55.900017,57.350018,1.4500008
5,18,2,71.87502,72.87502,1.0
10,18,3,74.123024,74.77103,0.6480026
11,18,4,81.623024,82.123024,0.5
16,18,5,82.123024,82.758026,0.63500214
1,19,0,26.0,27.0,1.0
2,19,1,34.65001,36.10001,1.4500008
7,19,2,56.000015,57.000015,1.0
8,19,3,57.000015,57.247017,0.24700165
11,19,4,76.623024,76.873024,0.25
16,19,5,76.873024,76.942024,0.069000244
1,20,0,6.0,7.0,1.0
2,20,1,36.10001,37.55001,1.4500008
5,20,2,66.24502,68.06002,1.8150024
10,20,3,74.77103,75.413025,0.6419983
11,20,4,78.123024,78.373024,0.25
16,20,5,85.13502,85.764015,0.6289978
0,21,0,18.0,19.0,1.0
2,21,1,40.450012,41.900013,1.4500008
6,21,2,64.150024,65.150024,1.0
10,21,3,78.23502,79.00102,0.76599884
11,21,4,86.623024,86.873024,0.25
0,22,0,10.0,11.0,1.0
2,22,1,31.750008,33.20001,1.4500008
6,22,2,42.40001,43.40001,1.0
9,22,3,67.234024,67.60503,0.3710022
11,22,4,67.60503,68.35503,0.75
16,22,5,81.26501,81.369,0.10399628
0,23,0,13.0,14.0,1.0
3,23,1,41.40001,42.85001,1.4500008
6,23,2,50.200012,51.200012,1.0
10,23,3,70.77102,71.41902,0.6480026
11,23,4,79.373024,79.873024,0.5
16,23,5,80.52601,81.16101,0.63500214
0,24,0,15.0,16.0,1.0
3,24,1,45.75001,47.200012,1.4500008
6,24,2,47.200012,48.200012,1.0
8,24,3,48.200012,48.447014,0.24700165
11,24,4,80.373024,80.623024,0.25
16,24,5,82.758026,82.82703,0.069000244
1,25,0,25.0,26.0,1.0
3,25,1,47.200012,48.650013,1.4500008
5,25,2,69.06002,70.87502,1.8150024
10,25,3,76.82703,77.469025,0.6419983
11,25,4,86.373024,86.623024,0.25
16,25,5,87.03402,87.66302,0.6289978
1,26,0,9.0,10.0,1.0
2,26,1,10.0,11.45,1.4499998
5,26,2,27.265001,28.265001,1.0
10,26,3,68.709015,69.47501,0.76599884
11,26,4,79.123024,79.373024,0.25
1,27,0,19.0,20.0,1.0
2,27,1,21.600002,23.050003,1.4500008
7,27,2,55.000015,56.000015,1.0
9,27,3,67.97603,68.34703,0.3710022
11,27,4,78.373024,79.123024,0.75
16,27,5,79.57902,79.683014,0.10399628
1,28,0,8.0,9.0,1.0
3,28,1,60.25002,61.70002,1.4500008
5,28,2,70.87502,71.87502,1.0
10,28,3,72.067024,72.71503,0.6480026
11,28,4,76.873024,77.373024,0.5
16,28,5,79.683014,80.318016,0.63500214
1,29,0,24.0,25.0,1.0
2,29,1,28.850006,30.300007,1.4500008
6,29,2,30.350002,31.350002,1.0
9,29,3,42.601,42.848003,0.24700165
11,29,4,46.247,46.497,0.25
16,29,5,46.497,46.566,0.069000244
0,30,0,4.0,5.0,1.0
3,30,1,57.350018,58.80002,1.4500008
5,30,2,58.80002,60.615017,1.8149986
10,30,3,68.06702,68.709015,0.6419983
11,30,4,81.123024,81.373024,0.25
16,30,5,84.29803,84.927025,0.6289978
0,31,0,19.0,20.0,1.0
3,31,1,61.70002,63.15002,1.4500008
6,31,2,63.15002,64.150024,1.0000038
10,31,3,77.469025,78.23502,0.76599884
11,31,4,82.873024,83.123024,0.25
1,32,0,14.0,15.0,1.0
3,32,1,32.700005,34.150005,1.4500008
5,32,2,41.230003,42.230003,1.0
9,32,3,42.230003,42.601,0.37099838
11,32,4,45.497,46.247,0.75
16,32,5,46.247,46.351,0.10400009
1,33,0,10.0,11.0,1.0
3,33,1,35.600006,37.050007,1.4500008
6,33,2,49.200012,50.200012,1.0
10,33,3,75.413025,76.06103,0.6480026
11,33,4,82.373024,82.873024,0.5
16,33,5,82.96503,83.60003,0.63500214
1,34,0,0.0,1.0,1.0
3,34,1,26.900002,28.350002,1.4500008
6,34,2,28.350002,29.350002,1.0
8,34,3,45.0,45.247,0.24700165
11,34,4,45.247,45.497,0.25
16,34,5,82.82703,82.89603,0.069000244
0,35,0,12.0,13.0,1.0
2,35,1,15.799999,17.25,1.4500008
5,35,2,38.415005,40.230003,1.8149986
10,35,3,40.230003,40.872,0.6419983
11,35,4,77.373024,77.623024,0.25
16,35,5,77.623024,78.25202,0.6289978
0,36,0,5.0,6.0,1.0
3,36,1,25.45,26.900002,1.4500008
7,36,2,26.900002,27.900002,1.0
10,36,3,73.357025,74.123024,0.76599884
11,36,4,74.123024,74.373024,0.25
0,37,0,8.0,9.0,1.0
3,37,1,29.800003,31.250004,1.4500008
7,37,2,31.250004,32.250004,1.0
8,37,3,48.447014,48.818012,0.37099838
11,37,4,74.373024,75.123024,0.75
16,37,5,81.369,81.473,0.10399628
0,38,0,0.0,1.0,1.0
3,38,1,28.350002,29.800003,1.4500008
5,38,2,42.230003,43.230003,1.0
10,38,3,71.41902,72.067024,0.6480026
11,38,4,80.623024,81.123024,0.5
16,38,5,86.39902,87.03402,0.63500214
1,39,0,29.0,30.0,1.0
3,39,1,42.85001,44.30001,1.4500008
5,39,2,47.045002,48.045002,1.0
9,39,3,48.045002,48.292004,0.24700165
11,39,4,48.292004,48.542004,0.25
16,39,5,70.42403,70.49303,0.069000244
1,40,0,20.0,21.0,1.0
3,40,1,34.150005,35.600006,1.4500008
5,40,2,35.600006,37.415005,1.8149986
10,40,3,37.415005,38.057003,0.6419983
11,40,4,39.205,39.455,0.25
