,Order,Stage,Start,Finish,Duration
1,0,0,0.0,1.0,1.0
2,0,1,4.45,5.8999996,1.4499998
6,0,2,5.8999996,8.1449995,2.245
10,0,3,22.630005,23.272005,0.6420002
12,0,4,27.742006,28.162006,0.42000008
16,0,5,30.099007,30.728006,0.6289997
0,1,0,15.0,16.0,1.0
2,1,1,21.850002,23.300003,1.4500008
7,1,2,23.300003,24.300003,1.0
10,1,3,29.050007,29.816008,0.76600075
11,1,4,41.344013,41.594013,0.25
0,2,0,11.0,12.0,1.0
3,2,1,17.95,19.400002,1.4500008
5,2,2,19.400002,20.400002,1.0
9,2,3,20.400002,20.771002,0.3710003
11,2,4,31.266006,32.016006,0.75
16,2,5,33.135006,33.239006,0.10400009
1,3,0,5.0,6.0,1.0
2,3,1,8.799999,10.249999,1.4499998
7,3,2,14.149999,15.149999,1.0
10,3,3,18.742,19.390001,0.6480007
13,3,4,19.390001,20.230001,0.84000015
14,3,5,20.230001,22.452002,2.2220001
0,4,0,24.0,25.0,1.0
2,4,1,34.90001,36.35001,1.4500008
5,4,2,36.35001,37.35001,1.0
9,4,3,38.844013,39.091015,0.24700165
13,4,4,40.252018,40.672016,0.41999817
14,4,5,40.836014,41.078014,0.24200058
0,5,0,2.0,3.0,1.0
2,5,1,3.0,4.45,1.4499998
5,5,2,4.45,6.265,1.815
10,5,3,26.482006,27.124006,0.6420002
11,5,4,28.016006,28.266006,0.25
16,5,5,31.986006,32.615005,0.6289997
0,6,0,18.0,19.0,1.0
3,6,1,28.100006,29.550007,1.4500008
5,6,2,29.550007,30.550007,1.0
10,6,3,32.88001,33.646008,0.76599884
13,6,4,41.092014,41.512012,0.41999817
1,7,0,14.0,15.0,1.0
3,7,1,20.850002,22.300003,1.4500008
7,7,2,22.300003,23.300003,1.0
8,7,3,23.771002,24.142002,0.3710003
12,7,4,30.088007,31.348007,1.2600002
16,7,5,33.031006,33.135006,0.10400009
0,8,0,7.0,8.0,1.0
3,8,1,12.15,13.599999,1.4499998
5,8,2,13.599999,14.599999,1.0
10,8,3,21.982004,22.630005,0.6480007
12,8,4,22.630005,23.470005,0.84000015
16,8,5,23.470005,24.105005,0.6350002
1,9,0,24.0,25.0,1.0
3,9,1,35.35001,36.80001,1.4500008
7,9,2,36.80001,37.80001,1.0
8,9,3,38.59701,38.844013,0.24700165
12,9,4,40.425014,40.845013,0.41999817
16,9,5,40.845013,40.914013,0.069000244
1,10,0,3.0,4.0,1.0
4,10,1,6.6620007,8.993001,2.3310003
6,10,2,10.389999,12.634999,2.245
10,10,3,24.556005,25.198006,0.6420002
13,10,4,25.198006,25.618006,0.42000008
14,10,5,26.926004,29.128004,2.2019997
0,11,0,19.0,20.0,1.0
2,11,1,27.650005,29.100006,1.4500008
7,11,2,29.100006,30.100006,1.0
10,11,3,33.646008,34.412006,0.76599884
11,11,4,40.844013,41.094013,0.25
1,12,0,13.0,14.0,1.0
3,12,1,15.049999,16.5,1.4500008
6,12,2,22.850002,23.850002,1.0
9,12,3,23.850002,24.221003,0.3710003
11,12,4,28.266006,29.016006,0.75
15,12,5,32.510006,32.874004,0.3639984
0,13,0,8.0,9.0,1.0
2,13,1,10.249999,11.699999,1.4499998
6,13,2,14.634999,15.634999,1.0
10,13,3,20.686003,21.334003,0.6480007
13,13,4,21.910002,22.750002,0.84000015
14,13,5,24.704004,26.926004,2.2220001
1,14,0,21.0,22.0,1.0
2,14,1,33.45001,34.90001,1.4500008
6,14,2,38.35001,39.35001,1.0
9,14,3,39.58502,39.83202,0.24700165
13,14,4,39.83202,40.252018,0.41999817
15,14,5,40.252018,40.49402,0.24200058
1,15,0,4.0,5.0,1.0
2,15,1,5.8999996,7.3499994,1.4499998
6,15,2,8.1449995,10.389999,2.245
10,15,3,25.198006,25.840006,0.6420002
