,Order,Stage,Start,Finish,Duration
1,0,0,0.0,1.0,1.0
2,0,1,4.45,5.8999996,1.4499998
6,0,2,5.8999996,8.1449995,2.245
10,0,3,35.175,35.816998,0.6419983
11,0,4,35.816998,36.066998,0.25
15,0,5,39.163002,41.365,2.2019997
0,1,0,15.0,16.0,1.0
2,1,1,32.000008,33.45001,1.4500008
6,1,2,33.45001,34.45001,1.0
10,1,3,41.594982,42.36098,0.76599884
13,1,4,50.10202,50.52202,0.41999817
0,2,0,11.0,12.0,1.0
3,2,1,26.900002,28.350002,1.4500008
5,2,2,28.350002,29.350002,1.0
9,2,3,29.350002,29.721003,0.3710003
12,2,4,41.546978,42.806976,1.2599983
14,2,5,46.41897,46.782967,0.3639984
1,3,0,5.0,6.0,1.0
2,3,1,13.149999,14.599998,1.4499998
6,3,2,26.750004,27.750004,1.0
10,3,3,33.231003,33.879,0.6479988
12,3,4,33.879,34.719,0.84000015
15,3,5,34.719,36.941,2.2220001
0,4,0,24.0,25.0,1.0
2,4,1,45.050014,46.500015,1.4500008
5,4,2,46.500015,47.500015,1.0
8,4,3,48.941017,49.18802,0.24700165
12,4,4,49.83701,50.257008,0.41999817
16,4,5,50.267017,50.336018,0.069000244
0,5,0,2.0,3.0,1.0
4,5,1,4.3310003,6.6620007,2.3310003
5,5,2,11.5910015,13.406002,1.8150005
10,5,3,40.310986,40.952984,0.6419983
11,5,4,40.952984,41.202984,0.25
16,5,5,43.076992,43.705994,0.6290016
0,6,0,18.0,19.0,1.0
2,6,1,37.80001,39.25001,1.4500008
6,6,2,39.25001,40.25001,1.0
10,6,3,45.424976,46.190975,0.76599884
11,6,4,50.241016,50.491016,0.25
0,7,0,14.0,15.0,1.0
2,7,1,30.550007,32.000008,1.4500008
7,7,2,32.000008,33.000008,1.0
9,7,3,34.442,34.813,0.37099838
12,7,4,42.806976,44.066975,1.2599983
16,7,5,46.329,46.433,0.10400009
0,8,0,7.0,8.0,1.0
2,8,1,20.400002,21.850002,1.4500008
7,8,2,27.695,28.695,1.0
10,8,3,28.695,29.343,0.6480007
13,8,4,29.343,30.183,0.84000015
16,8,5,38.303997,38.938995,0.6349983
1,9,0,24.0,25.0,1.0
3,9,1,45.75001,47.200012,1.4500008
7,9,2,47.200012,48.200012,1.0
8,9,3,48.200012,48.447014,0.24700165
11,9,4,49.741016,49.991016,0.25
16,9,5,49.991016,50.060017,0.069000244
1,10,0,3.0,4.0,1.0
2,10,1,8.799999,10.249999,1.4499998
6,10,2,12.634999,14.879999,2.245
10,10,3,37.100994,37.742992,0.6419983
12,10,4,41.12698,41.546978,0.41999817
14,10,5,41.546978,43.748978,2.2019997
0,11,0,19.0,20.0,1.0
3,11,1,38.500008,39.95001,1.4500008
7,11,2,39.95001,40.95001,1.0
10,11,3,46.190975,46.956974,0.76599884
11,11,4,50.491016,50.741016,0.25
1,12,0,13.0,14.0,1.0
3,12,1,25.45,26.900002,1.4500008
5,12,2,29.350002,30.350002,1.0
9,12,3,30.492004,30.863005,0.3710003
11,12,4,41.202984,41.952984,0.75
16,12,5,46.225,46.329,0.10400009
0,13,0,8.0,9.0,1.0
2,13,1,17.5,18.95,1.4500008
6,13,2,18.95,19.95,1.0
10,13,3,31.287003,31.935003,0.6480007
11,13,4,31.935003,32.435005,0.5000019
16,13,5,37.669,38.303997,0.6349983
1,14,0,23.0,24.0,1.0
2,14,1,43.600014,45.050014,1.4500008
7,14,2,48.200012,49.200012,1.0
9,14,3,49.244015,49.491016,0.24700165
11,14,4,49.491016,49.741016,0.25
16,14,5,49.741016,49.810017,0.069000244
1,15,0,4.0,5.0,1.0
4,15,1,6.6620007,8.993001,2.3310003
5,15,2,9.776001,11.5910015,1.8150005
10,15,3,37.742992,38.38499,0.6419983
