,Order,Stage,Start,Finish,Duration
0,0,0,0.0,1.0,1.0
3,0,1,4.45,25.900002,21.45
5,0,2,25.900002,27.715002,1.8150005
10,0,3,49.585987,50.227985,0.6419983
11,0,4,52.14199,52.39199,0.25
16,0,5,58.491974,59.120975,0.6290016
1,1,0,13.0,14.0,1.0
3,1,1,54.900013,56.350014,1.4500008
5,1,2,56.350014,57.350014,1.0
10,1,3,64.46602,65.23202,0.76599884
11,1,4,74.197014,74.447014,0.25
1,2,0,10.0,11.0,1.0
3,2,1,46.20001,47.65001,1.4500008
5,2,2,47.65001,48.65001,1.0
9,2,3,48.65001,49.021008,0.37099838
11,2,4,64.00597,64.75597,0.75
16,2,5,65.60996,65.71396,0.10399628
0,3,0,6.0,7.0,1.0
3,3,1,31.700003,33.15,1.4499989
7,3,2,35.600002,36.600002,1.0
10,3,3,36.600002,37.248,0.6479988
11,3,4,48.14199,48.64199,0.5
16,3,5,52.77699,53.411987,0.6349983
1,4,0,24.0,25.0,1.0
2,4,1,29.500008,30.950008,1.4500008
6,4,2,69.95001,70.95001,1.0
9,4,3,72.197014,72.444016,0.24700165
11,4,4,73.697014,73.947014,0.25
16,4,5,74.542015,74.611015,0.069000244
0,5,0,2.0,3.0,1.0
3,5,1,3.0,4.45,1.4499998
5,5,2,29.530003,31.345003,1.8150005
10,5,3,50.227985,50.869984,0.6419983
11,5,4,57.75597,58.00597,0.25
16,5,5,62.894985,63.523987,0.6290016
0,6,0,19.0,20.0,1.0
3,6,1,57.800014,59.250015,1.4500008
7,6,2,62.700016,63.700016,1.0
10,6,3,63.700016,64.46602,0.76600266
11,6,4,75.197014,75.447014,0.25
0,7,0,16.0,17.0,1.0
3,7,1,50.55001,52.00001,1.4500008
5,7,2,52.00001,53.00001,1.0
8,7,3,53.00001,53.37101,0.37099838
11,7,4,58.75597,59.50597,0.75
16,7,5,66.44193,66.54593,0.10399628
0,8,0,7.0,8.0,1.0
3,8,1,37.500004,38.950005,1.4500008
6,8,2,38.950005,39.950005,1.0
10,8,3,48.28999,48.93799,0.6479988
11,8,4,51.14199,51.64199,0.5
16,8,5,55.316982,55.95198,0.6349983
1,9,0,25.0,26.0,1.0
3,9,1,66.500015,67.95001,1.449997
6,9,2,67.95001,68.95001,1.0
9,9,3,68.95001,69.197014,0.24700165
11,9,4,73.447014,73.697014,0.25
16,9,5,74.266014,74.335014,0.069000244
0,10,0,3.0,4.0,1.0
3,10,1,27.35,28.800001,1.4500008
5,10,2,42.234997,44.049995,1.8149986
10,10,3,54.721973,55.36397,0.6419983
11,10,4,57.50597,57.75597,0.25
16,10,5,59.749977,60.37898,0.6290016
1,11,0,17.0,18.0,1.0
3,11,1,60.700016,62.150017,1.4500008
5,11,2,62.150017,63.150017,1.0
10,11,3,67.530014,68.29601,0.76599884
11,11,4,74.947014,75.197014,0.25
0,12,0,13.0,14.0,1.0
3,12,1,41.850006,43.300007,1.4500008
5,12,2,48.65001,49.65001,1.0
8,12,3,53.37101,53.74201,0.37099838
11,12,4,58.00597,58.75597,0.75
16,12,5,66.129944,66.23394,0.10399628
1,13,0,7.0,8.0,1.0
3,13,1,34.600002,36.050003,1.4500008
5,13,2,45.049995,46.049995,1.0
10,13,3,48.93799,49.585987,0.6479988
11,13,4,50.14199,50.64199,0.5
16,13,5,56.58698,57.221977,0.6349983
1,14,0,22.0,23.0,1.0
2,14,1,28.050007,29.500008,1.4500008
6,14,2,70.95001,71.95001,1.0
9,14,3,71.95001,72.197014,0.24700165
11,14,4,72.197014,72.447014,0.25
16,14,5,73.516014,73.585014,0.069000244
0,15,0,4.0,5.0,1.0
3,15,1,25.9,27.35,1.4500008
5,15,2,40.42,42.234997,1.8149986
10,15,3,53.437977,54.079975,0.6419983
11,15,4,57.25597,57.50597,0.25
16,15,5,61.636982,62.265984,0.6290016
0,16,0,20.0,21.0,1.0
3,16,1,52.00001,53.450012,1.4500008
6,16,2,53.450012,54.450012,1.0
10,16,3,69.82801,70.59401,0.76599884
11,16,4,75.697014,75.947014,0.25
1,17,0,11.0,12.0,1.0
2,17,1,16.45,17.900002,1.4500008
7,17,2,44.850006,45.850006,1.0
8,17,3,45.850006,46.221004,0.37099838
11,17,4,61.00597,61.75597,0.75
16,17,5,66.33794,66.44193,0.10399628
0,18,0,10.0,11.0,1.0
3,18,1,38.950005,40.400005,1.4500008
6,18,2,41.950005,42.950005,1.0
10,18,3,45.697994,46.345993,0.6479988
11,18,4,49.14199,49.64199,0.5
16,18,5,57.221977,57.856976,0.6349983
0,19,0,23.0,24.0,1.0
2,19,1,26.600006,28.050007,1.4500008
6,19,2,68.95001,69.95001,1.0
9,19,3,69.95001,70.197014,0.24700165
11,19,4,72.697014,72.947014,0.25
16,19,5,74.335014,74.404015,0.069000244
1,20,0,0.0,1.0,1.0
2,20,1,7.8,9.25,1.4499998
5,20,2,33.160004,34.975002,1.8149986
10,20,3,52.15398,52.79598,0.6419983
11,20,4,57.00597,57.25597,0.25
16,20,5,62.265984,62.894985,0.6290016
0,21,0,18.0,19.0,1.0
2,21,1,20.800003,22.250004,1.4500008
5,21,2,57.350014,58.350014,1.0
10,21,3,65.99802,66.764015,0.76599884
11,21,4,76.447014,76.697014,0.25
0,22,0,11.0,12.0,1.0
3,22,1,44.750008,46.20001,1.4500008
7,22,2,46.20001,47.20001,1.0
9,22,3,47.20001,47.571007,0.37099838
11,22,4,63.25597,64.00597,0.7499962
16,22,5,65.71396,65.817955,0.10399628
0,23,0,8.0,9.0,1.0
2,23,1,10.7,12.15,1.4499998
6,23,2,39.950005,40.950005,1.0
10,23,3,40.950005,41.598003,0.6479988
11,23,4,41.598003,42.098003,0.5
16,23,5,55.95198,56.58698,0.6349983
0,24,0,22.0,23.0,1.0
2,24,1,23.700005,25.150005,1.4500008
5,24,2,64.15002,65.15002,1.0
9,24,3,72.444016,72.69102,0.24700165
11,24,4,73.947014,74.197014,0.25
16,24,5,74.197014,74.266014,0.069000244
1,25,0,2.0,3.0,1.0
2,25,1,4.9,6.3500004,1.4500003
5,25,2,38.605,40.42,1.8149986
10,25,3,50.869984,51.511982,0.6419983
11,25,4,56.75597,57.00597,0.25
16,25,5,63.523987,64.152985,0.6289978
1,26,0,16.0,17.0,1.0
3,26,1,56.350014,57.800014,1.4500008
6,26,2,57.800014,58.800014,1.0
10,26,3,69.06201,69.82801,0.76599884
11,26,4,74.447014,74.697014,0.25
1,27,0,9.0,10.0,1.0
2,27,1,17.900002,19.350002,1.4500008
7,27,2,42.850006,43.850006,1.0
9,27,3,55.113007,55.484005,0.37099838
11,27,4,64.75597,65.50597,0.75
16,27,5,65.50597,65.60996,0.10399628
1,28,0,6.0,7.0,1.0
3,28,1,30.250002,31.700003,1.4500008
6,28,2,40.950005,41.950005,1.0
10,28,3,46.345993,46.99399,0.6479988
11,28,4,48.64199,49.14199,0.5
16,28,5,54.046986,54.681984,0.6349983
1,29,0,21.0,22.0,1.0
3,29,1,63.600018,65.05002,1.4500008
7,29,2,65.05002,66.05002,1.0
8,29,3,67.74702,67.99402,0.24700165
11,29,4,72.947014,73.197014,0.25
16,29,5,74.404015,74.473015,0.069000244
1,30,0,1.0,2.0,1.0
2,30,1,3.45,4.9,1.45
5,30,2,34.975002,36.79,1.8149986
10,30,3,51.511982,52.15398,0.6419983
11,30,4,56.50597,56.75597,0.25
16,30,5,60.37898,61.00798,0.6290016
1,31,0,15.0,16.0,1.0
2,31,1,22.250004,23.700005,1.4500008
6,31,2,55.900013,56.900013,1.0
10,31,3,65.23202,65.99802,0.76599884
11,31,4,75.947014,76.197014,0.25
0,32,0,12.0,13.0,1.0
3,32,1,43.300007,44.750008,1.4500008
6,32,2,44.750008,45.750008,1.0
9,32,3,54.37101,54.74201,0.37099838
11,32,4,59.50597,60.25597,0.75
16,32,5,66.02595,66.129944,0.10399628
0,33,0,5.0,6.0,1.0
3,33,1,28.800001,30.250002,1.4500008
5,33,2,44.049995,45.049995,1.0
10,33,3,45.049995,45.697994,0.6479988
11,33,4,51.64199,52.14199,0.5
16,33,5,52.14199,52.77699,0.6349983
1,34,0,23.0,24.0,1.0
3,34,1,65.05002,66.500015,1.449997
7,34,2,66.500015,67.500015,1.0
8,34,3,67.500015,67.74702,0.24700165
11,34,4,73.197014,73.447014,0.25
16,34,5,73.447014,73.516014,0.069000244
0,35,0,1.0,2.0,1.0
2,35,1,2.0,3.45,1.45
5,35,2,31.345003,33.160004,1.8150005
10,35,3,52.79598,53.437977,0.6419983
11,35,4,56.25597,56.50597,0.25
