,Order,Stage,Start,Finish,Duration
0,0,0,0.0,1.0,1.0
2,0,1,7.3499994,8.799999,1.4499998
5,0,2,8.799999,10.615,1.8150005
10,0,3,31.682009,32.32401,0.6420002
11,0,4,34.682007,34.932007,0.25
16,0,5,40.39699,41.025993,0.6290016
1,1,0,13.0,14.0,1.0
2,1,1,32.000008,33.45001,1.4500008
6,1,2,33.45001,34.45001,1.0
10,1,3,38.101994,38.867992,0.76599884
11,1,4,53.297016,53.547016,0.25
0,2,0,10.0,11.0,1.0
3,2,1,17.900002,19.350002,1.4500008
5,2,2,30.135004,31.135004,1.0
9,2,3,33.877,34.247997,0.37099838
11,2,4,46.459995,47.209995,0.75
16,2,5,47.62301,47.72701,0.10400009
1,3,0,5.0,6.0,1.0
2,3,1,14.599998,16.05,1.4500008
5,3,2,26.135004,27.135004,1.0
10,3,3,28.442005,29.090006,0.6480007
11,3,4,29.090006,29.590006,0.5
16,3,5,37.857,38.491997,0.6349983
1,4,0,24.0,25.0,1.0
2,4,1,43.600014,45.050014,1.4500008
5,4,2,45.050014,46.050014,1.0
8,4,3,48.297016,48.544018,0.24700165
11,4,4,52.797016,53.047016,0.25
16,4,5,53.642017,53.711018,0.069000244
1,5,0,2.0,3.0,1.0
2,5,1,3.0,4.45,1.4499998
5,5,2,12.43,14.245001,1.8150005
10,5,3,33.608006,34.250004,0.6419983
11,5,4,38.959995,39.209995,0.25
16,5,5,46.058006,46.687008,0.6290016
1,6,0,17.0,18.0,1.0
2,6,1,37.80001,39.25001,1.4500008
6,6,2,39.25001,40.25001,1.0
10,6,3,41.931988,42.697987,0.76599884
11,6,4,53.547016,53.797016,0.25
0,7,0,16.0,17.0,1.0
2,7,1,26.200005,27.650005,1.4500008
5,7,2,33.135002,34.135002,1.0
8,7,3,34.135002,34.506,0.37099838
11,7,4,44.959995,45.709995,0.75
16,7,5,47.51901,47.62301,0.10400009
1,8,0,7.0,8.0,1.0
2,8,1,18.95,20.400002,1.4500008
6,8,2,20.400002,21.400002,1.0
10,8,3,27.794004,28.442005,0.6480007
11,8,4,33.682007,34.182007,0.5
16,8,5,35.317005,35.952003,0.6349983
0,9,0,23.0,24.0,1.0
2,9,1,45.050014,46.500015,1.4500008
5,9,2,47.050014,48.050014,1.0
8,9,3,48.050014,48.297016,0.24700165
11,9,4,52.547016,52.797016,0.25
16,9,5,53.366016,53.435017,0.069000244
1,10,0,4.0,5.0,1.0
2,10,1,11.699999,13.149999,1.4499998
5,10,2,14.245001,16.060001,1.8150005
10,10,3,37.459995,38.101994,0.6419983
11,10,4,39.459995,39.709995,0.25
16,10,5,41.654995,42.283997,0.6290016
1,11,0,18.0,19.0,1.0
3,11,1,25.150005,26.600006,1.4500008
5,11,2,34.135002,35.135002,1.0
10,11,3,42.697987,43.463985,0.76599884
11,11,4,54.047016,54.297016,0.25
1,12,0,12.0,13.0,1.0
2,12,1,27.650005,29.100006,1.4500008
7,12,2,29.100006,30.100006,1.0
9,12,3,30.100006,30.471006,0.3710003
11,12,4,39.709995,40.459995,0.75
16,12,5,47.41501,47.51901,0.10400009
0,13,0,7.0,8.0,1.0
3,13,1,8.0,9.45,1.4499998
6,13,2,9.45,10.45,1.0
10,13,3,31.034008,31.682009,0.6480007
11,13,4,31.682009,32.182007,0.4999981
16,13,5,36.587,37.222,0.6349983
0,14,0,24.0,25.0,1.0
3,14,1,32.40001,33.85001,1.4500008
5,14,2,50.050014,51.050014,1.0
8,14,3,51.050014,51.297016,0.24700165
11,14,4,51.297016,51.547016,0.25
16,14,5,52.616016,52.685017,0.069000244
0,15,0,4.0,5.0,1.0
3,15,1,5.0,6.45,1.4499998
5,15,2,17.875002,19.690002,1.8150005
10,15,3,36.176,36.817997,0.6419983
11,15,4,38.709995,38.959995,0.25
16,15,5,43.542,44.171,0.6290016
0,16,0,19.0,20.0,1.0
2,16,1,29.100006,30.550007,1.4500008
6,16,2,34.45001,35.45001,1.0
10,16,3,43.463985,44.229984,0.76599884
11,16,4,54.797016,55.047016,0.25
0,17,0,13.0,14.0,1.0
2,17,1,23.300003,24.750004,1.4500008
5,17,2,31.135004,32.135002,0.9999981
8,17,3,32.135002,32.506,0.37099838
11,17,4,43.459995,44.209995,0.75
16,17,5,47.20701,47.31101,0.10400009
1,18,0,10.0,11.0,1.0
2,18,1,20.400002,21.850002,1.4500008
7,18,2,21.850002,22.850002,1.0
10,18,3,26.498003,27.146004,0.6480007
11,18,4,32.682007,33.182007,0.5
16,18,5,37.222,37.857,0.6349983
1,19,0,21.0,22.0,1.0
3,19,1,28.050007,29.500008,1.4500008
7,19,2,41.700012,42.700012,1.0
9,19,3,44.847015,45.094017,0.24700165
11,19,4,51.797016,52.047016,0.25
16,19,5,53.435017,53.504017,0.069000244
1,20,0,3.0,4.0,1.0
2,20,1,5.8999996,7.3499994,1.4499998
5,20,2,16.060001,17.875002,1.8150005
10,20,3,34.250004,34.892002,0.6419983
11,20,4,39.209995,39.459995,0.25
16,20,5,42.913,43.542,0.6290016
1,21,0,16.0,17.0,1.0
3,21,1,23.700005,25.150005,1.4500008
5,21,2,36.135002,37.135002,1.0
10,21,3,39.63399,40.39999,0.76599884
11,21,4,55.297016,55.547016,0.25
0,22,0,9.0,10.0,1.0
3,22,1,16.45,17.900002,1.4500008
5,22,2,32.135002,33.135002,1.0
9,22,3,33.135002,33.506,0.37099838
11,22,4,45.709995,46.459995,0.75
16,22,5,46.99901,47.10301,0.10400009
1,23,0,8.0,9.0,1.0
3,23,1,9.45,10.9,1.4499998
5,23,2,25.135004,26.135004,1.0
10,23,3,30.386007,31.034008,0.6480007
11,23,4,33.182007,33.682007,0.5
16,23,5,35.952003,36.587,0.6349983
1,24,0,23.0,24.0,1.0
2,24,1,40.700012,42.150013,1.4500008
5,24,2,46.050014,47.050014,1.0
9,24,3,47.050014,47.297016,0.24700165
11,24,4,53.047016,53.297016,0.25
16,24,5,53.297016,53.366016,0.069000244
1,25,0,0.0,1.0,1.0
2,25,1,8.799999,10.249999,1.4499998
5,25,2,23.320004,25.135004,1.8150005
10,25,3,32.32401,32.966007,0.6419983
11,25,4,38.459995,38.709995,0.25
16,25,5,45.429005,46.058006,0.6290016
1,26,0,15.0,16.0,1.0
2,26,1,36.35001,37.80001,1.4500008
6,26,2,37.80001,38.80001,1.0
10,26,3,44.995983,45.761982,0.76599884
11,26,4,55.047016,55.297016,0.25
1,27,0,11.0,12.0,1.0
2,27,1,24.750004,26.200005,1.4500008
6,27,2,26.200005,27.200005,1.0
9,27,3,27.200005,27.571005,0.3710003
11,27,4,41.209995,41.959995,0.75
16,27,5,46.687008,46.791008,0.10400009
0,28,0,6.0,7.0,1.0
2,28,1,13.149999,14.599998,1.4499998
5,28,2,27.135004,28.135004,1.0
10,28,3,29.090006,29.738007,0.6480007
11,28,4,34.182007,34.682007,0.5
16,28,5,34.682007,35.317005,0.6349983
1,29,0,22.0,23.0,1.0
3,29,1,26.600006,28.050007,1.4500008
5,29,2,49.050014,50.050014,1.0
8,29,3,50.050014,50.297016,0.24700165
11,29,4,52.047016,52.297016,0.25
16,29,5,53.504017,53.573017,0.069000244
1,30,0,1.0,2.0,1.0
3,30,1,3.45,4.9,1.45
5,30,2,19.690002,21.505003,1.8150005
10,30,3,32.966007,33.608006,0.6419983
11,30,4,38.209995,38.459995,0.25
16,30,5,41.025993,41.654995,0.6290016
0,31,0,18.0,19.0,1.0
2,31,1,34.90001,36.35001,1.4500008
7,31,2,36.35001,37.35001,1.0
10,31,3,38.867992,39.63399,0.76599884
11,31,4,55.547016,55.797016,0.25
0,32,0,14.0,15.0,1.0
3,32,1,15.0,16.45,1.4500008
5,32,2,29.135004,30.135004,1.0
